hgnc_symbol	description	Protein.families	all_sc_proteomics	ND_islet_proteomics	stemcell_NDislet_proteomics_FC	stemcell_NDislet_proteomics_adj_p_value
PROK1	prokineticin 1	AVIT (prokineticin) family	NA	NA	NA	NA
PROK2	prokineticin 2	AVIT (prokineticin) family	NA	NA	NA	NA
PSPN	persephin	TGF-beta family, GDNF subfamily	NA	NA	NA	NA
PTH	parathyroid hormone	Parathyroid hormone family	NA	NA	NA	NA
PTH2	parathyroid hormone 2	Parathyroid hormone family	NA	NA	NA	NA
PTHLH	parathyroid hormone like hormone	Parathyroid hormone family	NA	NA	NA	NA
PTN	pleiotrophin	Pleiotrophin family	NA	NA	NA	NA
PYY	peptide YY	NPY family	NA	NA	NA	NA
QRFP	pyroglutamylated RFamide peptide	RFamide neuropeptide family	NA	NA	NA	NA
RARRES2	retinoic acid receptor responder 2	NA	NA	1994.24	NA	NA
RETN	resistin	Resistin/FIZZ family	NA	NA	NA	NA
RLN1	relaxin 1	Insulin family	NA	NA	NA	NA
RLN2	relaxin 2	Insulin family	NA	NA	NA	NA
RLN3	relaxin 3	Insulin family	NA	NA	NA	NA
RSPO1	R-spondin 1	R-spondin family	NA	NA	NA	NA
RSPO2	R-spondin 2	R-spondin family	NA	NA	NA	NA
RSPO3	R-spondin 3	R-spondin family	NA	NA	NA	NA
