Protein.Group	Protein.Ids	Genes	proteomics_stem_cell_all	proteomics_stem_cell_sorted	proteomics_stem_cell_unsorted	proteomics_pooled	proteomics_human_islets
P51688	P51688	SGSH	78128	59096.6	87643.7	70216.3	24900.3
P51689	P51689	ARSD	2391.7	2546.8	2298.6	8028.9	4519.4
P51690	P51690	ARSL	10354.2	11171.5	9945.5	25574.8	13577
P51692	P51692	STAT5B	15988.1	16330.3	15817	26617.6	31779.6
P51693	P51693	APLP1	2892.1	3169.6	2740.7		2595.1
P51784	P51784	USP11	13725.3	15152.5	13011.7	13075.8	14373.9
P51787	P51787	KCNQ1	610.7	495.6	660.1	365.1	578.4
P51790	P51790	CLCN3	10318.1	11824.3	9565	9337.2	11445
P51793	P51793	CLCN4	5903.4	7171.1	5269.5	4579.8	4874
P51797	P51797	CLCN6	7245.8	7710.8	7013.2	4430.9	3804.3
P51798	P51798	CLCN7	13719.9	12881.1	14139.4	12664	13221.8
P51805	P51805	PLXNA3	4488.6	5097.9	4184	4294	4237
P51809	P51809	VAMP7	14268	14308.1	14247.9	13082.7	12443.3
P51812	P51812	RPS6KA3	49774.4	55857.2	46733	39177.7	55899.2
P51843	P51843	NR0B1	5407.7	6984.3	4619.4	7315	5297.8
P51858	P51858	HDGF	95490.4	83139.4	101665.9	153553.3	99776.2
P51884	P51884	LUM	38731.7		38731.7	11575.7	23063.1
P51911	P51911	CNN1	9796.9	54394.7	4222.1	16198.1	9025.8
P51946	P51946	CCNH	1850.8	1800.9	1865.1		1155.5
P51948	P51948	MNAT1	2276.6	2329.1	2248	1541.7	1898.1
P51956	P51956	NEK3	445.7	458	439.5		321.8
P51957	P51957	NEK4	1414.2	1552.4	1206.9	1454.5	1681.9
P51970	P51970	NDUFA8	7158.5	6411	7532.3	13021.1	7756.2
P51991	P51991	HNRNPA3	361102.9	348701	367303.9	358647.7	322787.4
P52209	P52209	PGD	330595.8	327316.2	332235.6	127978.3	192183.7
P52272	P52272	HNRNPM	397506.3	366561.8	412978.6	286645	306479.8
P52292	P52292	KPNA2	10188.9	10384.9	10090.9	7711.5	5286.7
P52294	P52294	KPNA1	25760.8	26206.2	25538.1	22130.9	20191.3
P52298	P52298	NCBP2	24351	22490.9	25281.1	17363	20302.4
P52306	P52306	RAP1GDS1	26969.1	29422.7	25742.4	22429.9	23598.6
P52429	P52429	DGKE	1869.9	1684.2	1971.2	8972.4	3398.8
P52434	P52434	POLR2H	18168.1	18088.6	18207.9	7789.8	12681.7
P52435	P52435	POLR2J	1710.2	1227.3	1951.6	5907.3	1682.5
P52564	P52564	MAP2K6	35254.2	34193.6	35784.5	10342.4	12787.3
P52565	P52565	ARHGDIA	145288.4	162521.8	136671.7	197215.7	167761.6
P52566	P52566	ARHGDIB	65540.9	64466.6	66078	52496.1	60067.8
P52569	P52569	SLC7A2	60748.4	75067.5	53588.9	49027.2	86440.3
P52594	P52594	AGFG1	19876.8	21473.9	19078.2	33619.4	24188.5
P52597	P52597	HNRNPF	103320.7	95522.4	107219.9	73820.2	71194.8
P52630	P52630	STAT2	6680.6	6964.2	6538.8	7738	5095.9
P52655	P52655	GTF2A1	2913.7	2220.9	3000.3	10269.4	2664.5
P52657	P52657	GTF2A2	2698.1	2697.9	2698.2	3475.6	2025.2
P52701	P52701	MSH6	26660	20771.5	29604.2	15492.9	12511.7
P52735	P52735	VAV2	27247.2	31243.5	25249.1	15525.4	19073.2
P52747	P52747	ZNF143	4670.3	4167.2	4921.9	13087.7	4735.5
P52756	P52756	RBM5	7741.4	7544.3	7839.9	10932	6784.9
P52757	P52757	CHN2	1279.3	919.7	1638.8	3820.8	1480.8
P52758	P52758	RIDA	17770.6	12546.6	20382.6	26446.7	11160.8
P52788	P52788	SMS	19144.8	17494.9	19969.7	13776.4	17505.5
P52815	P52815	MRPL12	15485.4	12309.4	17073.4	59346.3	22589
P52824	P52824	DGKQ	996.4	1111.7	933.5	992.1	858.8
P52848	P52848	NDST1	3164	3065.1	3213.5	2348.4	3007.7
P52849	P52849	NDST2	2306.6	3903	1508.4		2201.4
P52888	P52888	THOP1	28643.1	29528.9	28200.2	20569.5	19989.3
P52895	P52895	AKR1C2	20994.3	28209.3	17386.9	15636.1	30410.7
P52907	P52907	CAPZA1	261830.8	259945.8	262773.3	195242	209979.5
P52926	P52926	HMGA2	3559.1	1825.2	4137.1		295.8
P52943	P52943	CRIP2	33241.9	24434.5	37645.6	55104.1	60638.3
P52945	P52945	PDX1	6999.1	4918.7	8039.4	16727.1	4786.9
P52948	P52948	NUP98	20281	20040.2	20401.3	16869.9	19902.4
P53004	P53004	BLVRA	70097.4	77150.4	66570.9	38461	56373.8
P53007	P53007	SLC25A1	134441.6	138949.3	132187.7	111022.9	152845.6
P53041	P53041	PPP5C	18145.8	18564.3	17936.6	15723.2	18710.7
P53355	P53355	DAPK1	5053.7	5658.4	4751.3	3016	4946.2
P53365	P53365	ARFIP2	22793.8	26474.8	20953.3	23975.2	26349.6
P53367	P53367	ARFIP1	19992.1	21504.5	19235.9	37586.2	32601.7
P53370	P53370	NUDT6	3806.6	4533.4	3443.2	6148.4	4664.9
P53384	P53384	NUBP1	16283	14185.3	17331.8	7042.6	12691.8
P53396	P53396	ACLY	154642	180888.2	141518.9	248811.7	304477.2
P53539	P53539	FOSB				8504.7	1898.8
P53567	P53567	CEBPG	1635.1		1635.1		1826.6
P53582	P53582	METAP1	17668.5	17274.7	17865.4	15570.5	15127.7
P53597	P53597	SUCLG1	45323	38769.4	48599.7	71771.6	76422.5
P53602	P53602	MVD	31664.7	37166.9	28913.5	13488.7	18517
P53609	P53609	PGGT1B	20205	20875	19870	11341.8	20320.4
P53611	P53611	RABGGTB	7300.6	8865.8	6518	7930.1	9760.1
P53618	P53618	COPB1	59619.5	65201.5	56828.5	60496.4	87241.8
P53621	P53621	COPA	138116.4	149440.7	132454.3	130245.7	196950.5
P53634	P53634	CTSC	128805.3	120928.2	132743.9	26223.5	18306.5
P53671	P53671	LIMK2	4346.9	4641.1	4213.1	3620.1	4364.7
P53672	P53672	CRYBA2	32773.1	34265.5	32027	17993.1	11249.3
P53677	P53677	AP3M2	3496.2	3255.6	3616.5	5080.2	4025.2
P53680	P53680	AP2S1	89994.1	89532.4	90225	33153	112086.7
P53701	P53701	HCCS	5499.9	5717.8	5390.9	2862.1	3765
P53778	P53778	MAPK12	19197.1	19724.5	18933.3	3690.1	7770.2
P53779	P53779	MAPK10	15705.8	17029	15044.1	10031.4	14586.7
P53801	P53801	PTTG1IP	21028.8	24417.2	19334.6	23950.7	14548.6
P53803	P53803	POLR2K	5757.5	5029.2	6121.6	2422	3601.3
P53804	P53804	TTC3	1432.7	1529.1	1336.3	1501.6	1432.3
P53805	P53805	RCAN1	2683	2870	2309.1	3021.3	3707.7
P53814	P53814	SMTN	596.4		596.4	4031.8	3116.4
P53985	P53985	SLC16A1	5980.4	3041	7450.1	1332.3	1056.9
P53990	P53990	IST1	57304.1	56756.6	57577.9	83427.7	54372.5
P53992	P53992	SEC24C	73531.3	78565	71014.4	63362.7	74213.1
P53999	P53999	SUB1	40966.6	38162.5	42368.6	69235.3	32216.4
P54098	P54098	POLG	6789.3	7049.6	6659.1	10616.9	7309.4
P54105	P54105	CLNS1A	12751.7	10922.4	13666.3	10597.8	10599.5
P54136	P54136	RARS1	121287.1	122264.2	120798.6	107186.8	108229.3
P54198	P54198	HIRA	7037.7	6531.2	7290.9	4066.8	5163.6
P54252	P54252	ATXN3	8488.2	7650.2	8907.2	20207	8573.7
P54253	P54253	ATXN1	4129.8	5312.2	3538.6	691.4	949
P54259	P54259	ATN1	6397.8	6899.7	6146.9	13357.9	8676.1
P54274	P54274	TERF1	1631.9		1631.9		2436.6
P54277	P54277	PMS1	1701.5	2009.4	1598.8		1414.6
P54278	P54278	PMS2	1830.4	1811.6	1836.6	1359.4	1170.7
P54289	P54289	CACNA2D1	59363.8	75070.9	51510.3	23871.3	18407.5
P54315	P54315	PNLIPRP1	6847.4		6847.4	33517.2	13181.6
P54317	P54317	PNLIPRP2	57005.2	58606.3	55404.1	126704	38792.9
P54577	P54577	YARS1	35792.1	36511.4	35432.4	40703.9	37645
P54578	P54578	USP14	56167.9	56350.5	56076.6	49328.7	45404.1
P54619	P54619	PRKAG1	26572.2	25344.4	27186.1	12347.7	31001.6
P54646	P54646	PRKAA2	6584.3	6145.3	6803.8	7513.6	4223.3
P54652	P54652	HSPA2	12411.4	12707.7	12263.2	56049.7	39659
P54687	P54687	BCAT1	22382.4	18281.9	24432.6	43842.5	13422.4
P54709	P54709	ATP1B3	31539.7	34683.8	29967.6	49684.2	31209
P54710	P54710	FXYD2	12159.1	12875.4	11801	22391.3	11450.3
P54725	P54725	RAD23A	19041.8	18879.7	19122.9	42553.9	22054.2
P54727	P54727	RAD23B	73604	71448.5	74681.8	96623.1	61833.8
P54760	P54760	EPHB4	310.7	177.4	355.1	328.8	221.8
P54802	P54802	NAGLU	40076.5	35113.2	42558.1	15506.8	13496.2
P54803	P54803	GALC	50026.2	38201.5	55938.6	23589.3	25137.6
P54819	P54819	AK2	119626.4	108033.2	125423	201270.7	150659.1
P54855	P54855	UGT2B15				6294.1	10553.7
P54868	P54868	HMGCS2	10871.9	7379.4	12618.1	14640.5	10230.7
P54886	P54886	ALDH18A1	52813.5	50423.9	54008.4	83205.3	92667.3
P54920	P54920	NAPA	43768.2	48453.4	41425.6	54302.7	69297.1
P54922	P54922	ADPRH	2254	2357.5	2197.6	5363.1	3978.8
P55010	P55010	EIF5	56177.3	59346	54592.9	64816.5	63942.9
P55011	P55011	SLC12A2	12297.6	11606.9	12642.9	8220.2	8693.1
P55036	P55036	PSMD4	58067.3	55985.8	59108.1	54998.1	53889.5
P55039	P55039	DRG2	33467.7	31973.8	34214.7	39257.3	32300.6
P55058	P55058	PLTP	23974.9	30708.2	20302.1	16594.6	14560.1
P55060	P55060	CSE1L	80994.1	71803.6	85589.3	71774.4	67380.2
P55061	P55061	TMBIM6	4733.6	5378.2	4411.2	877.5	7556.8
P55072	P55072	VCP	344359.9	349591.3	341744.3	395733	383609
P55081	P55081	MFAP1	17977.9	16484.1	18724.8	23951	12527.6
P55084	P55084	HADHB	250059.7	220519	264830	373835.7	369452.7
P55145	P55145	MANF	31886.7	35679.1	29990.5	31049.5	30507.5
P55196	P55196	AFDN	30663.5	31662.3	30164.1	37851.4	27616
P55199	P55199	ELL	3786.7	4084.2	3637.9	4111.2	4157.1
P55201	P55201	BRPF1	3676.2	3044.6	4055.2	4498.3	3633.8
P55209	P55209	NAP1L1	41226.1	38666.3	42506.1	41422.3	26960.9
P55210	P55210	CASP7	6248.6	5867.5	6439.1	9225.5	11361.6
P55211	P55211	CASP9	1279.6	837.9	1532		872.2
P55212	P55212	CASP6	8730.7	8850.2	8671	5472.7	3495.2
P55259	P55259	GP2	6657.5	7882.7	6045	156303.8	45701
P55263	P55263	ADK	31811.8	36636.7	29399.4	35192.8	35726.2
P55265	P55265	ADAR	68410.4	70845.8	67192.7	57741.1	65705.7
P55268	P55268	LAMB2	8120.5	4502.7	9929.4	20294.7	7613.3
P55285	P55285	CDH6	3188.6	3253.6	3181.4		3052.8
P55290	P55290	CDH13	882.1	673.1	1091.1	4181.1	3469.8
P55327	P55327	TPD52	66299.1	70831.2	64033.1	256980.7	181533
P55347	P55347	PKNOX1	182347.1	282061	127957.8	49663.5	146294.8
P55735	P55735	SEC13	14372.7	14061.5	14528.3	10826.6	15976
P55769	P55769	SNU13	64591.6	56624.8	68574.9	46940.6	46785.4
P55786	P55786	NPEPPS	94092	91885.4	95195.3	122215.6	88989.3
P55789	P55789	GFER	2722.2	2371.6	2897.6	4563.5	3663
P55795	P55795	HNRNPH2	67831.1	63267.7	70112.8	81072.5	58798.8
P55809	P55809	OXCT1	75863.4	63833.3	81878.4	101511.3	100493
P55854	P55854	SUMO3	2764.9	1885.7	3204.6	3976.8	2360.4
P55884	P55884	EIF3B	73010.5	73081.9	72974.8	86886.3	82288.6
P55899	P55899	FCGRT	6228.5	8213.7	5235.9	4009.7	5321.3
P55957	P55957	BID	16177.3	18783.1	14874.4	6483.2	5016.3
P56134	P56134	ATP5MF	30430.5	27418.8	31936.4	80687.7	36870.2
P56181	P56181	NDUFV3	8273	4451.9	9865.1	17600.1	8392.5
P56182	P56182	RRP1	9570.6	8689.9	10010.9	9906.4	8569.3
P56192	P56192	MARS1	61598	61571.3	61611.3	80474	58291.2
P56199	P56199	ITGA1	10906	12526.9	10095.6	24224.4	31913.2
P56211	P56211	ARPP19	2402.4		2402.4	3621.9	
P56270	P56270	MAZ	16731.5	14431.1	17881.7	13187.9	12877.4
P56277	P56277	CMC4	2255.2	2679.1	1831.2	2334.2	1544.2
P56377	P56377	AP1S2	11997.7	6712.6	14640.2	3942.4	16448.3
P56378	P56378	ATP5MPL	32214.3	27042.2	34800.4	28314.9	31516.7
P56381	P56381	ATP5F1E	65918	50960.4	73396.8	63668.8	66119.7
P56385	P56385	ATP5ME	105786.6	81854.5	117752.6	149611.3	124721.2
P56470	P56470	LGALS4	2822.8	2822.8		80440.2	61135
P56524	P56524	HDAC4	2687.1	3098.2	2481.6	5634.2	3824.7
P56537	P56537	EIF6	73219.8	74595.4	72532.1	36441.6	81279.2
P56545	P56545	CTBP2	40375.4	36774.4	42175.9	22882.8	16067.8
P56556	P56556	NDUFA6	26400.6	24536.7	27332.6	61811.5	34546
P56589	P56589	PEX3	17045.6	17995.6	16527.4	13458.6	21801.5
P56705	P56705	WNT4	2234.3	2242.2	2214.4		6092.3
P56817	P56817	BACE1	8350.6	10039.3	7506.3		4368.7
P56937	P56937	HSD17B7	36565.1	43817.4	32938.9	23500.3	24623
P56945	P56945	BCAR1	3523.1	4657.5	2904.4	4086.1	3834.2
P56962	P56962	STX17	10226.9	9063.9	10808.4	15927	11242.9
P57071	P57071	PRDM15	1694.9	1246.5	1807		1280
P57076	P57076	CFAP298	2507.4	2590.9	2465.7	3435.5	2090.2
P57078	P57078	RIPK4	703.1	584.4	777.3	186.3	534.7
P57081	P57081	WDR4	4263.9	3980.3	4392.7	3285.2	4202.6
P57087	P57087	JAM2	2924.9	2915.5	2927.3	5220.7	3804.2
P57088	P57088	TMEM33	84383.7	94824.2	79163.4	26924.1	90340.7
P57105	P57105	SYNJ2BP	20901.4	19361.5	21671.3	27678.1	24041.6
P57678	P57678	GEMIN4	7020.3	6485	7243.4	3395.5	6530.1
P57721	P57721	PCBP3	5455.2	6079.1	5039.3	4417.9	5332.1
P57735	P57735	RAB25	16215.3	18889.7	14878.1	13637.3	24804
P57737	P57737	CORO7	72425.6	82292.8	67492.1	66801.2	55089.4
P57739	P57739	CLDN2					1086.1
P57740	P57740	NUP107	24880.6	24015.2	25313.4	16548.5	22403.3
P57764	P57764	GSDMD	8625.3	9493.4	8191.3	10107.6	11719.1
P57768	P57768	SNX16	1682.8	1612.7	1752.9	2417.1	2404.1
P57772	P57772	EEFSEC	15442.4	17079.8	14623.7	15815.8	12737.3
P58004	P58004	SESN2	4551.8	6089.8	3782.8	4696.2	5727.7
P58107	P58107	EPPK1	9833.1	10196.7	9651.3	6899.6	7566.8
P58215	P58215	LOXL3	9765.7	12343.7	8476.7		1549.4
P58340	P58340	MLF1.00	521.4		521.4	961.6	1043.6
P58499	P58499	FAM3B	3813.5	1276.6	8887.1	8823.6	7796.9
P58546	P58546	MTPN	13566.4	11620.7	14539.2	36346	13680.7
P59190	P59190	RAB15	5717.7	7179.8	4986.6	4238.7	3230.9
P59535	P59535	TAS2R40	1769.9		1769.9		2669.3
P59665	P59665	DEFA1	8721.3	8721.3		2085.3	3612.4
P59768	P59768	GNG2	30731.7	30182.5	31006.3	23147.2	22558.2
P59780	P59780	AP3S2	18463.4	20943.2	17223.4	15254.7	29236.2
P59998	P59998	ARPC4	236395.1	265771.7	221706.8	197243.7	243606.9
P60033	P60033	CD81	4284.5	4407.6	4217.3	5472.6	5982.3
P60059	P60059	SEC61G	9876.9	9843.4	9893.7	35736.3	13181.4
P60174	P60174	TPI1	808259.6	875042	774868.3	616177.7	664171.8
P60228	P60228	EIF3E	84891.7	88052.6	83311.3	72075.8	102614.1
P60468	P60468	SEC61B	108712.9	97774.4	114182.2	210845.6	127867.8
P60484	P60484	PTEN	12212.1	13420	11608.2	71382.1	12100.7
P60510	P60510	PPP4C	36822.6	39145.2	35661.2	10514.4	28686.6
P60520	P60520	GABARAPL2	14603.9	16759.2	13526.3	14262.2	15023.4
P60602	P60602	ROMO1	5579.5	6517.4	5153.2	4811.1	5125.5
P60604	P60604	UBE2G2	13224.3	14745	12886.4	8279.4	10889
P60660	P60660	MYL6	201107.9	156872.3	223225.8	302416.3	355266.9
P60709	P60709	ACTB	2235242.2	2120583.3	2292571.7	2007603.3	2582251
P60763	P60763	RAC3	15428.4	17257.4	14513.9	7493.3	7154.3
P60842	P60842	EIF4A1	246866.1	251807.5	244395.4	162776.7	243327
P60866	P60866	RPS20	186864.9	177772	191411.4	204578.3	214203.9
P60880	P60880	SNAP25	9669.3	11597	8705.5	23661.3	14774.2
P60891	P60891	PRPS1	90555.7	95672	87997.6	72595.8	124390
P60900	P60900	PSMA6	192749.9	177476.7	200386.5	115231.6	188363.6
P60903	P60903	S100A10	9575.5	9163.5	9800.3	32455.8	26866.7
P60953	P60953	CDC42	88432.9	83864.4	90717.2	77958.6	110800.5
P60981	P60981	DSTN	135756.1	134771	136248.7	112581.9	188587.9
P60983	P60983	GMFB	46014	45729.9	46156	37047.8	46602.4
P61006	P61006	RAB8A	18613.6	18318.8	18761.1	15645.5	22830.1
P61009	P61009	SPCS3	71605.2	74448	70183.8	153154.3	106335.2
P61011	P61011	SRP54	39350	42227.4	37911.3	49904.3	50824
P61018	P61018	RAB4B	16045.3	16323.8	15906.1	29170.8	34352.1
P61019	P61019	RAB2A	140623.9	155451.7	133210	165485	205339.2
P61020	P61020	RAB5B	39144.1	39200.4	39116	71871.1	57636.8
P61026	P61026	RAB10	53418	53779	53237.4	46498.1	78231.9
P61077	P61077	UBE2D3	43653.6	43694.3	43633.3	18854.4	35732.2
P61081	P61081	UBE2M	106995.9	116111.2	102438.2	56533.7	95854.6
P61086	P61086	UBE2K	31973.8	34192	30864.7	12289.9	20150.3
P61088	P61088	UBE2N	204723.6	189381.2	212394.8	212431.3	201637.8
P61106	P61106	RAB14	118689.5	126281	114893.7	241824.7	197703
P61129	P61129	ZC3H6	1731.8	2250.6	1645.3	4087.8	2473.8
P61158	P61158	ACTR3	95013	101958.2	91540.5	64997.8	94450.9
P61160	P61160	ACTR2	99661.1	109179.9	94901.7	85454.2	106494.4
P61163	P61163	ACTR1A	9020.2	9482.8	8789	6016.5	7918.3
P61165	P61165	TMEM258	20624.3	19031.2	21420.9	18702.1	23650.1
P61201	P61201	COPS2	35621.8	36841.7	35011.9	29317.3	37803.9
P61204	P61204	ARF3	487504.5	517183.7	472664.9	171268.7	773309.6
P61221	P61221	ABCE1	31759.1	30508.7	32384.3	39118.8	38589.4
P61224	P61224	RAP1B	219842.8	247647.5	205940.4	193024.3	274329.7
P61225	P61225	RAP2B	23555.5	19208.6	25729		23041.8
P61244	P61244	MAX	2597.1	2052.7	2894.1	5651.3	3106.9
P61247	P61247	RPS3A	447067.3	423027.8	459087	492980.7	530574.5
P61254	P61254	RPL26	128717.5	119660	133246.3	203623.7	168909.1
P61278	P61278	SST	110840.4	153470.6	89525.3	203097.8	88711.2
P61289	P61289	PSME3	28355.6	26967.8	29049.5	23833	24611.8
P61313	P61313	RPL15	168415.3	124258.6	190493.6	172275.7	180668
P61353	P61353	RPL27	140553.6	137304.3	142178.3	211651.7	173633.9
P61371	P61371	ISL1	1168.7	1168.7		1848.6	1998.2
P61421	P61421	ATP6V0D1	74908.3	87786.7	68469.2	42817.2	111301.5
P61457	P61457	PCBD1	98387.3	93705.7	100728.1	54827.9	66058.1
P61513	P61513	RPL37A	35934.2	31539	38131.8	17107.2	31197.6
P61586	P61586	RHOA	261510.1	261572.5	261478.9	350892.3	241953.7
P61599	P61599	NAA20	2820.4	3180.5	2640.4	2158.8	3694.1
P61601	P61601	NCALD	10546.3	10954.1	10342.5	7174.4	14075.2
P61604	P61604	HSPE1	250088.4	189145.5	280559.9	561567	238152.5
P61619	P61619	SEC61A1	93017	98175.2	90437.9	140715	144458.5
P61626	P61626	LYZ	22463.3	34149.3	16620.4	16173.6	16362.3
P61758	P61758	VBP1	15128.2	14976.6	15204	11618	12412.3
P61764	P61764	STXBP1	106249.1	127177.4	95784.9	111770.4	146192
P61769	P61769	B2M	34020.2	34141.5	33959.5	43361.8	59299.1
P61803	P61803	DAD1	143255.9	147515	141126.3	75387.2	210694.3
P61916	P61916	NPC2	25225.6	24826.8	25425	8650	14493.6
P61923	P61923	COPZ1	52862.3	58074.6	50256.2	59477	82512.8
P61927	P61927	RPL37	22815.2	17032	24983.9	38428.8	20115.9
P61956	P61956	SUMO2	187299.1	155743.5	203076.9	124368.7	157804.9
P61960	P61960	UFM1	16356.1	16427.1	16320.6	132989.1	23769.1
P61962	P61962	DCAF7	12550.3	12006.5	12822.2	7866.7	8176.1
P61964	P61964	WDR5	25304.2	23033.7	26439.5	19445.3	22315.2
P61966	P61966	AP1S1	18156	21568.8	16449.6	25142.5	24162.4
P61970	P61970	NUTF2	89262.3	84632.5	91577.2	33790.7	68450
P61978	P61978	HNRNPK	372924.4	348266.8	385253.3	305746	301558
P61981	P61981	YWHAG	421282.5	443034	410406.8	451735	423741.6
P62070	P62070	RRAS2	6886.9	5716.9	7472	6543.7	8603.1
P62072	P62072	TIMM10	12241.9	9197.6	13348.9	15191.4	13736.4
P62081	P62081	RPS7	455791.9	443056.3	462159.7	744894	559164.5
P62136	P62136	PPP1CA	39106.8	36785.7	40267.3	29267.4	27924
P62140	P62140	PPP1CB	165102.7	165390.5	164958.8	86246.3	185738
P62166	P62166	NCS1	4647.6	4440.4	4771.8	1768.2	3132.5
P62191	P62191	PSMC1	142963.8	143729.8	142580.8	149582.7	133479.1
P62195	P62195	PSMC5	68678.3	68550.9	68742	63641.8	63150.6
P62241	P62241	RPS8	334823.1	286674.8	358897.2	349691.7	379421
P62244	P62244	RPS15A	325088.6	306042.8	334611.4	243264.7	380031.2
P62249	P62249	RPS16	228406.7	218281.5	233469.3	260849.3	273022.5
P62253	P62253	UBE2G1	1685.1	1702.7	1676.2	1636.2	761.5
P62256	P62256	UBE2H	13205.7	13573	13022	10952.7	14312.6
P62258	P62258	YWHAE	338116	344977.3	334685.3	405566.3	399322
P62263	P62263	RPS14	266966.8	241879	279510.8	438164	333842.1
P62266	P62266	RPS23	206614.9	192121.8	213861.5	130105.5	257035.6
P62269	P62269	RPS18	473775.3	449853.5	485736.2	705209.3	594384.7
P62273	P62273	RPS29	108670.7	93071.7	116470.3	142725.7	102517.9
P62277	P62277	RPS13	139487.2	128832.1	144814.7	226145	171457.6
P62280	P62280	RPS11	197632.7	195075.8	198911.2	248260	230331.3
P62304	P62304	SNRPE	113766.7	100265.1	120517.5	182301.1	92794.9
P62306	P62306	SNRPF	13210.1	8102.6	15763.8	7644.4	6208.1
P62310	P62310	LSM3.00	35946.5	29397.9	39220.8	38732.6	31953.7
P62312	P62312	LSM6.00	46251.2	37842.4	50455.6	31136	34959
P62314	P62314	SNRPD1	61318.6	57785	63085.4	34795.7	49940.2
P62316	P62316	SNRPD2	102116.5	96138.1	105105.8	108964.7	78750.7
P62318	P62318	SNRPD3	227273.6	206735.2	237542.8	116118.2	170192.5
P62328	P62328	TMSB4X	7765.5	6160.1	8495.3	80286.3	9062.3
P62330	P62330	ARF6	24559.1	24805.7	24435.8	24625.5	27925
P62333	P62333	PSMC6	56181.1	53733.2	57405.1	50831.9	51107.8
P62341	P62341	SELENOT	16695.2	17530.9	16277.3	10278.8	18271.3
P62380	P62380	TBPL1	3393	3619	3279.9	1966.3	1887.9
P62424	P62424	RPL7A	166425.3	139845.3	179715.3	226659	210690.2
P62487	P62487	POLR2G	5375.7	5638.8	5244.2	2275.5	4341.5
P62491	P62491	RAB11A	241892.7	262899.2	231389.5	217372.3	289247
P62495	P62495	ETF1	69735.7	76203.4	66501.8	45754.8	79987.7
P62633	P62633	CNBP	8469.4	6796.1	9166.6	4406.8	5320.6
P62699	P62699	YPEL5	3243	3302.9	3213.1	5568.4	3659.8
P62701	P62701	RPS4X	234887.1	219847.5	242406.9	161189	283660.8
P62714	P62714	PPP2CB	67565.5	69993	66351.8	28626.4	67493.7
P62736	P62736	ACTA2	32033	12163.6	43071.6	16039.8	14096.3
P62745	P62745	RHOB	10294.6	11647.6	9618	14331.6	9546.8
P62750	P62750	RPL23A	192296.2	174572.3	201158.2	331480.7	235985.2
P62753	P62753	RPS6	233810.3	217305.8	242062.5	280005.3	272862.9
P62760	P62760	VSNL1	5019.4	3942.7	5468	9749.9	6913.2
P62805	P62805	H4C1	2267390.6	1859386.7	2471392.5	2456696.7	2617090.1
P62807	P62807	H2BC4	1382816.8	1133573.8	1507438.3	1273428.3	1280930.9
P62820	P62820	RAB1A	436970.9	463976.8	423467.9	486253.7	620459
P62826	P62826	RAN	751548.7	682536.8	786054.7	445749	594895.7
P62829	P62829	RPL23	87009.9	83957.9	88535.8	147343.3	98397.8
P62834	P62834	RAP1A	4066.9	4738.5	3700.5	2526.3	5315.5
P62837	P62837	UBE2D2	4802.8	4875.1	4759.3	1373.4	2816
P62841	P62841	RPS15	44036.2	45810.7	43149	145770.7	59197
P62847	P62847	RPS24	35616.7	29273.4	38788.4	68024	42324.2
P62851	P62851	RPS25	409337.7	402635.5	412688.8	369978.3	489453.2
P62854	P62854	RPS26	86352.8	72109.7	93474.3	194085.7	105897.8
P62857	P62857	RPS28	80352.1	66634.2	87211.1	186289	97012.3
P62861	P62861	FAU	23839.5	16289.6	27614.4	115435.3	27911.4
P62873	P62873	GNB1	360759.1	356681.8	362797.8	156431	325275.3
P62877	P62877	RBX1	16261	15581.3	16600.8	38652.5	15194.9
P62879	P62879	GNB2	38960.3	38075	39402.9	141487.3	39986.8
P62888	P62888	RPL30	111188.2	111781.2	110891.6	149208.1	119564.7
P62891	P62891	RPL39	34084.2	23555.9	39348.3	104571.1	35551.3
P62899	P62899	RPL31	117196.8	114321.5	118634.5	144350.3	141219.4
P62906	P62906	RPL10A	226648.9	226386.7	226780	294105	273994.8
P62910	P62910	RPL32	44867.4	31022.5	51789.9	87030.2	54121.5
P62913	P62913	RPL11	74700.1	67766.8	78166.7	98226.1	85267.2
P62917	P62917	RPL8	351146.6	328576.8	362431.5	465696.3	414758.9
P62937	P62937	PPIA	389143.7	387413.8	390008.7	371125	353191.6
P62942	P62942	FKBP1A	166110.8	160403.8	168964.3	271029	135320.6
P62979	P62979	RPS27A	1764920.6	1678035	1808363.3	2428040	1962494.2
P62993	P62993	GRB2	40874.7	41261.3	40681.4	32594.4	34104.3
P62995	P62995	TRA2B	104088.4	91825.1	110220.1	90597	73607.4
P63000	P63000	RAC1	210958.3	220013.8	206430.6	178509.3	244327.9
P63010	P63010	AP2B1	96451	105010.3	92171.4	80316.8	100772.9
P63027	P63027	VAMP2	76977.3	85477.3	72727.3	163351.7	126984.6
P63096	P63096	GNAI1	24803.6	28359.2	23025.8	23272.7	27467
P63098	P63098	PPP3R1	2041.5	1990.5	2072		2305.1
P63104	P63104	YWHAZ	561222.3	539762.7	571952.1	450012.7	484872.9
P63146	P63146	UBE2B	3475	4627.5	2816.5		2762.8
P63151	P63151	PPP2R2A	55271.1	53411.5	56200.9	51023.1	49351.2
P63165	P63165	SUMO1	49047.9	44864.6	51139.5	54184.3	39831.9
P63167	P63167	DYNLL1	119100.9	109229.2	124036.7	49428.9	67997.5
P63172	P63172	DYNLT1	14451.8	13564.9	14895.2	7032.2	4668
