Protein.Group	Protein.Ids	Genes	proteomics_stem_cell_all	proteomics_stem_cell_sorted	proteomics_stem_cell_unsorted	proteomics_pooled	proteomics_human_islets
O75879	O75879	GATB	11925.4	11797.4	11989.4	12836.9	10973.8
O75880	O75880	SCO1	25206.3	20604.8	27507.1	55356.5	28420.7
O75881	O75881	CYP7B1	6318.4	6377.9	6288.6	3385.4	7823.7
O75882	O75882	ATRN	5159.3	5252.8	5112.5	6061.9	3758.8
O75884	O75884	RBBP9	30222.1	29350.5	30657.8	17966.1	23486.3
O75886	O75886	STAM2	9638.7	10308.4	9303.9	15671.4	11688
O75891	O75891	ALDH1L1	20194.1	24917.2	6025.1	53758.7	24126.6
O75896	O75896	TUSC2	4488.9	4862.5	4328.7	52845.9	9665.6
O75907	O75907	DGAT1	8184.2	8941.4	7805.6	3808.1	7396
O75909	O75909	CCNK	15347.6	16799.8	14621.5	18100.7	10021.9
O75911	O75911	DHRS3	11857.1	6241.7	14196.9		9017.1
O75912	O75912	DGKI	15720.7	16799.1	14911.9	26675.5	21588.6
O75914	O75914	PAK3	9704.2	11445.4	8833.6	18456.6	12848.6
O75915	O75915	ARL6IP5	78167.7	77191.3	78655.9	58835	79346.2
O75923	O75923	DYSF	4861.2	3379.8	5496.2	11628.1	12720.1
O75925	O75925	PIAS1	3985.5	4104.5	3926	3118.7	3079
O75934	O75934	BCAS2	24456.7	21712.6	25828.7	42547.3	18766.7
O75935	O75935	DCTN3	59778.8	63546.9	57894.7	29667.6	60925.2
O75937	O75937	DNAJC8	39328	37398.4	40292.7	48569.9	31301.5
O75940	O75940	SMNDC1	9042.7	8622.4	9252.8	12139.4	8312.6
O75943	O75943	RAD17	2632.8	2653.2	2621.7	8560.8	2900.6
O75947	O75947	ATP5PD	100882.8	86043.8	108302.3	123879.1	133570.9
O75954	O75954	TSPAN9	2065.6	2515	1937.2		2396.9
O75955	O75955	FLOT1	35720.4	34265.2	36448	33109.5	32907.7
O75962	O75962	TRIO	4596.9	4829.2	4480.7	9427.2	5033.6
O75964	O75964	ATP5MG	144502.5	119638.9	156934.4	324864.3	151573.1
O75970	O75970	MPDZ	2862.4	2344.8	3121.1	2321.1	2822.2
O75973	O75973	C1QL1	3302.3	4684.6	2611.2	1030.7	962.2
O75976	O75976	CPD	58346.3	69509.4	52764.8	79333.6	57219.3
O76003	O76003	GLRX3	19481.2	19243.9	19599.8	25788.5	18284.8
O76021	O76021	RSL1D1	23837	20328	25591.6	27388	21351.7
O76024	O76024	WFS1	80355.2	103762.9	68651.4	89708.9	75969.5
O76027	O76027	ANXA9	6471.1		6471.1	9621	8101.3
O76031	O76031	CLPX	20755.3	20562.5	20851.6	19520.4	20056
O76038	O76038	SCGN	184900.7	235549.7	159576.2	475732	443426.3
O76039	O76039	CDKL5					327.4
O76041	O76041	NEBL	18852.1	20387.5	18084.4	22893.2	20744.2
O76050	O76050	NEURL1	6233.6	6922.9	5716.5	6555.5	11698.5
O76054	O76054	SEC14L2	4691.9	3925.3	5011.3	9767	7446.4
