Protein.Ids	Genes	sorted.avg	sorted.CV	sorted.%	unsorted.avg	unsorted.CV	unsorted.%	stem.mean	stem.CV	stem.%	ND.mean	ND.CV	ND.%	T2D.mean	T2D.CV	T2D.%	human.mean	human.CV	human.%
P15336	ATF2	1421.56	48	100	1664.94	13	100	1570.29	29	100	1292.81	33	100	1280.70	38.87098107	93.33333333	1291.52	33.66089784	99.2481203
P15374	UCHL3	59015.73	15	100	57402.55	9	100	58029.89	11	100	62947.55	13	100	64032.93	13.72107596	100	63069.96	13.27320868	100
P15428	HPGD	3440.85	41	71	3811.64	59	82	3679.22	52	78	4324.24	42	52	4519.76	51.90082026	60	4349.38	42.84279209	52.63157895
P15529	CD46	2539.51	43	100	2848.81	24	91	2721.45	31	94	7537.91	16	99	7130.64	22.10520965	100	7491.63	16.98568659	99.2481203
P15531	NME1	399964.48	10	100	429799.67	7	100	418197.09	9	100	411310.13	12	100	428276.76	8.707506694	100	413223.66	11.32272385	100
P15559	NQO1	9757.07	48	100	14402.08	44	100	12595.69	48	100	12732.63	56	100	13426.95	85.88771525	100	12810.94	59.84346165	100
P15586	GNS	84665.39	15	100	90418.86	29	100	88181.40	24	100	51271.36	21	100	50622.98	27.92244828	100	51198.23	22.11417933	100
P15735	PHKG2	15990.53	16	100	16715.18	16	100	16433.37	15	100	14182.46	13	100	14242.38	9.83104187	100	14189.21	12.41485276	100
P15848	ARSB	33855.36	16	100	34660.88	43	100	34347.62	35	100	11303.36	29	100	12485.74	33.24828709	100	11436.71	29.72413596	100
P15880	RPS2	181610.48	11	100	215683.27	7	100	202432.74	12	100	230124.48	18	100	268809.00	31.43928295	100	234487.40	20.65844967	100
P15882	CHN1	3601.77	15	100	3507.41	19	100	3544.11	17	100	4741.85	21	100	3871.49	30.72452845	93.33333333	4649.54	22.24239707	99.2481203
P15884	TCF4	575.34	54	71	444.73	37	82	491.38	46	78	682.83	37	92	576.22	54.99152467	93.33333333	670.70	39.13296631	92.48120301
P15907	ST6GAL1	18811.46	46	100	16580.11	34	100	17447.86	39	100	2241.83	52	92	2059.61	43.36112093	80	2223.61	51.56050623	90.22556391
P15924	DSP	71180.56	13	100	70820.41	20	100	70960.47	17	100	53776.22	31	100	65173.17	32.22410891	100	55061.59	31.86278177	100
P15927	RPA2	17163.48	18	100	22742.45	18	100	20572.85	23	100	23784.87	14	100	21592.25	14.6304561	100	23537.58	14.39153652	100
P15941	MUC1	4608.31		14	2684.44	35	55	2959.28	38	39	8190.54	82	90	16452.36	84.8602241	100	9214.73	90.47930717	90.97744361
P15954	COX7C	6545.22	27	71	9689.56	47	100	8706.95	47	89	10743.59	51	98	9642.60	51.18114315	100	10617.52	51.0754806	98.4962406
P16035	TIMP2	19289.15	20	100	12003.88	20	100	14837.04	31	100	64324.15	47	100	58525.70	54.25226275	100	63670.19	47.40525196	100
P16070	CD44	1504.72	45	100	2797.89	106	100	2294.99	104	100	47652.88	61	100	86557.02	67.96997427	100	52040.56	68.15985932	100
P16083	NQO2	10619.37	39	100	22762.24	37	100	18040.02	51	100	19141.88	45	100	22261.85	48.69268283	100	19493.76	45.62318313	100
P16144	ITGB4	9912.44	31	57	6525.73	34	55	7880.42	38	56	10304.46	41	99	12584.03	48.54853185	100	10563.50	42.71084942	99.2481203
P16152	CBR1	30336.04	13	100	29422.34	15	100	29777.67	14	100	83480.08	20	100	99780.90	14.23893376	100	85318.52	20.56022143	100
P16157	ANK1	1723.71	29	100	1228.42	37	100	1421.03	37	100	1241.25	34	97	1209.61	31.31498694	86.66666667	1238.01	33.21114375	95.4887218
P16219	ACADS	26392.58	19	100	30575.88	32	100	28949.04	29	100	43179.92	24	100	44870.32	21.99099373	100	43370.57	23.57314091	100
P16220	CREB1	17691.33	12	100	22657.81	10	100	20726.40	16	100	18566.53	13	100	19691.23	16.17631799	100	18693.38	13.81831229	100
P16233	PNLIP	5656.29		14	48221.70	105	27	37580.34	123	22	175794.46	116	100	197278.24	133.2297559	100	178217.44	118.3285839	100
P16278	GLB1	77873.13	18	100	73030.75	32	100	74913.90	27	100	35552.42	16	100	36897.10	26.83055859	100	35704.07	17.24796267	100
P16284	PECAM1			0	6031.42		9	6031.42		6	12657.97	32	100	10220.89	48.68793028	100	12383.11	34.2346713	100
P16298	PPP3CB	7166.42	11	100	5481.31	8	100	6136.63	17	100	8180.29	15	100	7418.05	18.87015844	100	8094.33	15.56294765	100
P16333	NCK1	12150.52	11	100	12651.39	9	100	12456.61	10	100	14935.59	9	100	14750.24	6.840366672	100	14914.69	8.949849979	100
P16383	GCFC2	4722.13	9	100	5226.97	13	100	5030.65	13	100	5562.45	19	100	5436.47	19.67054582	100	5548.24	19.08765298	100
P16401	H1-5	438981.00	23	100	1222237.42	27	100	917637.70	51	100	26053.81	49	100	29188.71	36.34003522	100	26407.37	47.6073394	100
P16402	H1-3	8467.87	36	100	51636.84	51	100	34848.91	85	100	3648.24	68	100	3326.78	44.50915111	100	3611.99	65.73149456	100
P16403	H1-2	30263.05	28	100	131921.04	35	100	92387.38	67	100	60954.47	45	100	77166.66	38.7058857	100	62782.91	44.99518889	100
P16422	EPCAM	29645.70	43	100	27644.05	33	100	28422.47	36	100	40635.39	18	100	40151.15	15.66840291	100	40580.78	17.30134028	100
P16435	POR	86215.50	8	100	76780.39	14	100	80449.60	13	100	65697.94	10	100	60944.26	15.53718531	100	65161.81	10.88604445	100
P16444	DPEP1	32297.03	20	100	22009.94	38	100	26010.48	35	100	19946.34	83	99	40883.08	70.09504172	100	22325.51	86.76432502	99.2481203
P16455	MGMT	1691.20	33	100	1590.06	35	100	1629.39	33	100	1696.34	43	97	2175.90	81.92748312	100	1751.67	52.02461935	97.7443609
P16519	PCSK2	43718.99	36	100	35164.22	65	100	38491.07	53	100	88515.16	28	100	97154.71	39.72570396	100	89489.55	30.16930664	100
P16591	FER	2825.11	13	100	3271.96	11	100	3098.19	14	100	3480.08	15	100	3404.70	23.87078849	100	3471.58	16.40216972	100
P16615	ATP2A2	129004.18	15	100	162504.48	79	100	149476.59	67	100	80238.70	16	100	76749.23	11.06326187	100	79845.15	15.48946956	100
P16671	CD36	4516.77	40	57	6906.27	47	91	6223.56	49	78	19117.24	55	100	16689.82	42.46199028	100	18843.47	53.76133365	100
P16870	CPE	350697.90	24	100	232425.97	22	100	278420.61	31	100	600781.49	26	100	489981.85	42.58556974	100	588285.29	28.31809735	100
P16885	PLCG2	16832.92	22	100	10372.51	34	100	12884.89	37	100	5503.97	25	100	5964.93	20.62285834	100	5555.96	24.8938512	100
P16930	FAH	18010.01	16	100	23138.50	22	100	21144.09	24	100	43077.89	16	100	44306.09	15.57943628	100	43216.41	15.98253631	100
P16949	STMN1	170045.62	28	100	199375.52	32	100	187969.44	31	100	19423.09	36	100	20882.52	40.9063281	100	19587.69	36.96508606	100
P16989	YBX3	2792.39	40	100	6230.96	29	100	4893.73	47	100	11043.56	60	100	19528.59	90.64380129	100	12000.52	74.51042361	100
P17026	ZNF22	5078.48	20	100	8913.48	25	100	7422.09	35	100	6839.16	22	100	7964.49	23.50962058	100	6966.08	22.76248627	100
P17028	ZNF24	11948.10	12	100	14279.97	12	100	13373.13	15	100	11270.99	14	100	10694.78	14.15254583	100	11206.00	13.98817441	100
P17029	ZKSCAN1	12723.34	9	100	13339.75	12	100	13100.03	11	100	10908.23	18	100	10108.47	22.98559823	100	10818.03	18.58140106	100
P17050	NAGA	72789.18	25	100	107548.83	58	100	94031.19	55	100	57682.21	18	100	64043.20	32.23846096	100	58399.62	20.31837387	100
P17066	HSPA6	18220.37	31	100	15508.03	27	100	16562.83	29	100	24309.57	26	100	24332.57	20.41498741	100	24312.16	24.92277095	100
P17096	HMGA1	29886.50	43	100	44125.60	33	100	38588.17	40	100	9510.02	35	100	11733.06	32.86685271	100	9760.74	35.0856283	100
P17152	TMEM11	28205.47	20	100	30750.45	16	100	29760.74	18	100	40163.69	19	100	36591.00	14.48184579	100	39760.76	18.91047454	100
P17174	GOT1	135972.41	12	100	175788.93	71	100	160304.73	61	100	133395.88	13	100	126089.10	13.65733954	100	132571.81	13.53662141	100
P17252	PRKCA	8087.25	18	100	9178.99	13	100	8754.42	15	100	18636.33	19	100	15394.48	22.53495498	100	18270.71	19.77575809	100
P17275	JUNB	3270.01	63	29	3896.28	55	82	3782.41	54	61	16055.84	24	100	17017.37	19.08753898	100	16164.29	23.12541194	100
P17301	ITGA2	6734.54	41	100	11190.71	30	100	9457.75	40	100	34355.91	47	100	50970.95	31.43932146	100	36229.79	46.88223577	100
P17405	SMPD1	10763.94	21	100	6266.67	25	100	8015.61	36	100	11301.91	28	100	10023.34	36.53831171	100	11157.71	29.16775079	100
P17480	UBTF	30525.63	19	100	36694.91	12	100	34295.75	17	100	33283.40	10	100	34255.75	13.01130214	100	33393.06	10.50087173	100
P17535	JUND	2122.10	26	100	2407.64	22	100	2296.60	23	100	4058.53	25	100	4258.95	25.87681576	100	4081.14	25.4199951	100
P17540	CKMT2	4289.68	53	100	29639.33	173	100	19781.14	209	100	3267.40	31	100	4003.76	43.92595953	100	3350.45	33.63199489	100
P17544	ATF7	140.72		14	150.79	41	55	149.35	38	39	182.96	61	47	187.06	83.36471214	53.33333333	183.48	63.31144426	47.36842105
P17568	NDUFB7	12557.37	31	100	13311.07	30	100	13017.96	30	100	20306.54	18	100	18986.37	18.83910039	100	20157.65	17.70568159	100
P17600	SYN1	18561.04	18	100	12842.23	19	100	15066.21	26	100	19836.71	21	100	17568.72	27.51209826	100	19580.92	22.26951018	100
P17612	PRKACA	42657.72	12	100	50452.87	21	100	47421.42	20	100	48866.18	8	100	47692.46	8.139201363	100	48733.81	8.416526718	100
P17655	CAPN2	30155.40	16	100	28189.76	9	100	28954.18	12	100	58308.42	14	100	66605.87	23.69871997	100	59244.22	16.49111958	100
P17661	DES	963.03	92	57	8894.72	158	64	6010.47	193	61	678.89	87	67	799.21	50.76314856	66.66666667	692.41	82.29380884	66.91729323
P17676	CEBPB	2228.41	41	29	3029.41	38	27	2709.01	38	28	5620.00	33	94	6717.27	25.8720469	100	5750.63	32.28383149	94.73684211
P17677	GAP43	2821.20	43	100	2204.84	48	100	2444.54	46	100	1719.03	47	99	1540.63	33.42068263	93.33333333	1699.97	45.79360534	98.4962406
P17706	PTPN2	3013.39	40	100	3400.64	22	100	3250.04	29	100	3018.10	24	99	3249.95	15.23288819	100	3044.45	23.00159543	99.2481203
P17812	CTPS1	43896.89	18	100	36837.63	26	100	39582.90	24	100	13781.41	16	100	16231.70	16.15687045	100	14057.76	17.18619321	100
P17813	ENG	317.00		14	1903.35	68	18	1374.57	94	17	10675.82	55	100	12694.35	76.63014133	100	10903.47	58.73620445	100
P17844	DDX5	116102.92	12	100	106045.17	18	100	109956.51	16	100	101326.74	9	100	109730.63	9.231165485	100	102274.55	9.488495479	100
P17858	PFKL	42190.05	16	100	45147.28	17	100	43997.25	16	100	46230.06	9	100	46324.26	13.60536782	100	46240.68	9.336537012	100
P17900	GM2A	20108.14	14	100	22040.17	14	100	21288.82	14	100	20538.86	22	100	22305.41	26.46810074	100	20738.10	22.85279972	100
P17931	LGALS3	7406.60	30	100	18453.33	58	100	14157.38	70	100	61518.91	52	100	103804.56	55.19760583	100	66287.97	56.89778692	100
P17936	IGFBP3	9592.76	28	100	4592.95	36	100	6537.32	50	100	3435.27	45	90	3184.57	56.76463937	93.33333333	3406.03	46.07796189	90.22556391
P17980	PSMC3	77759.44	6	100	82095.42	5	100	80409.21	6	100	76681.99	8	100	72388.36	8.001321668	100	76197.75	7.961461567	100
P17987	TCP1	124014.24	7	100	132504.06	6	100	129202.46	7	100	125407.45	7	100	125092.96	6.035686889	100	125371.98	6.999464033	100
P18031	PTPN1	25900.01	11	100	22388.01	14	100	23753.79	14	100	21961.78	10	100	20914.60	9.0634331	100	21843.67	10.2253713	100
P18065	IGFBP2	26210.87	47	100	12393.62	32	100	17767.00	59	100	13746.21	47	100	21621.10	58.77046868	100	14634.35	52.87961098	100
P18077	RPL35A	174533.57	24	100	150970.12	7	100	160133.69	18	100	183086.32	16	100	205709.36	32.0511724	100	185637.79	18.91857404	100
P18084	ITGB5			0	1838.63	46	55	1838.63	46	33	2644.10	39	92	2962.21	32.36278361	86.66666667	2678.27	37.93743193	90.97744361
P18085	ARF4	120665.64	9	100	131857.12	16	100	127504.88	14	100	195892.89	17	100	187160.82	16.82273694	100	194908.07	16.9332546	100
P18124	RPL7	226999.71	15	100	240021.58	6	100	234957.52	10	100	279987.13	15	100	321562.58	34.18503085	100	284676.09	19.23205015	100
P18146	EGR1	4356.50		14	2270.69	55	64	2531.42	54	44	3004.65	127	21	2888.97	50.96477999	20	2992.25	121.3458817	21.05263158
P18206	VCL	66453.23	13	100	80444.85	29	100	75003.67	26	100	138789.85	17	100	149745.03	15.12223951	100	140025.40	16.7989615	100
P18283	GPX2	2637.14	35	100	2884.76	68	91	2782.80	57	94	4295.63	48	99	5862.41	68.23171521	100	4473.68	53.38663118	99.2481203
P18433	PTPRA	5083.57	20	100	5683.00	17	100	5449.89	18	100	7707.15	12	100	8148.15	17.68958992	100	7756.88	12.892042	100
P18440	NAT1	12332.47	18	100	10352.33	8	100	11122.39	16	100	6610.59	31	98	8228.52	45.18795717	100	6795.85	34.73146438	98.4962406
P18509	ADCYAP1	5646.34	70	43	1312.39	121	27	3479.37	103	33	8042.43	58	100	5472.69	94.33885223	100	7752.61	61.66898419	100
P18564	ITGB6			0	271.83		9	271.83		6	1229.27	67	75	1876.45	72.48929438	93.33333333	1318.10	71.03809877	76.69172932
P18583	SON	30617.42	8	100	33601.81	8	100	32441.21	9	100	30770.17	8	100	32226.15	8.210685888	100	30934.38	8.070819973	100
P18615	NELFE	7406.75	17	100	8167.86	12	100	7871.88	14	100	6774.41	17	100	7073.54	11.29431272	100	6808.14	16.57691374	100
P18621	RPL17	93436.73	10	100	105778.03	7	100	100978.64	10	100	115496.23	14	100	134931.15	25.19785934	100	117688.14	16.88567866	100
P18669	PGAM1	239155.19	19	100	228787.12	24	100	232819.15	21	100	255720.75	13	100	230849.33	16.53670094	100	252915.70	13.46073152	100
P18754	RCC1	73356.20	10	100	95809.33	14	100	87077.56	18	100	32780.23	26	100	44949.38	34.36717013	100	34152.69	29.66677817	100
P18846	ATF1	3788.88	16	57	2380.07	32	91	2782.59	35	78	3552.35	40	69	3142.62	33.08695329	66.66666667	3507.33	39.27875554	68.42105263
P18847	ATF3	1634.26		14	1495.58	38	64	1512.92	35	44	2047.77	33	85	2229.63	35.24729848	80	2067.26	33.06634106	84.21052632
P18850	ATF6	941.22	22	71	623.67	44	82	737.08	39	78	891.12	32	97	822.69	42.60971313	93.33333333	883.63	33.2172368	96.2406015
P18858	LIG1	2297.14	39	100	2960.23	21	91	2687.19	30	94	2132.92	46	74	2053.95	66.7077862	66.66666667	2124.78	47.91006912	72.93233083
P18859	ATP5PF	2561.60	53	71	4656.59	45	100	4001.90	53	89	4240.74	46	97	3632.63	46.5277761	100	4170.03	46.12701715	96.9924812
P18887	XRCC1	22257.77	12	100	25667.66	15	100	24341.59	16	100	13657.14	11	100	14378.90	7.371764421	100	13738.54	10.55178477	100
P19012	KRT15	13138.69	49	100	11609.95	34	100	12204.46	40	100	18298.59	67	99	34131.90	135.1738106	100	20097.83	97.62399871	99.2481203
P19013	KRT4	7345.47	46	100	7932.03	96	100	7703.92	80	100	6643.69	93	97	8439.03	139.2114955	93.33333333	6838.53	101.7667609	96.9924812
P19021	PAM	38855.71	19	100	26358.77	20	100	31218.69	27	100	107082.67	25	100	97757.10	45.37636376	100	106030.91	27.76576249	100
P19022	CDH2	18155.89	15	100	24173.12	15	100	21833.09	20	100	7758.71	28	99	7035.66	17.93734272	93.33333333	7681.44	27.6832072	98.4962406
P19075	TSPAN8			0	6884.82	38	18	6884.82	38	11	17884.84	70	100	31915.17	60.26438012	100	19467.21	72.38147573	100
P19086	GNAZ	23252.84	11	100	18867.72	15	100	20573.05	17	100	25631.46	18	100	24219.44	26.96784422	100	25472.21	19.03266921	100
P19174	PLCG1	11396.57	24	100	10246.80	23	100	10693.93	24	100	4491.09	15	100	4498.77	21.61061518	100	4491.96	16.12206642	100
P19338	NCL	323241.67	20	100	384122.27	15	100	360446.48	18	100	334017.27	13	100	357391.13	18.60759428	100	336653.42	13.84253864	100
P19367	HK1	37851.06	16	100	67166.35	76	100	55765.96	76	100	29541.49	36	100	38255.50	40.83002645	100	30524.27	37.55226976	100
P19387	POLR2C	24477.48	6	100	27499.28	13	100	26324.13	12	100	23473.58	9	100	24418.49	6.366846012	100	23580.15	9.140903213	100
P19388	POLR2E	20414.26	15	100	22177.08	7	100	21491.54	11	100	19226.30	9	100	19285.81	9.593612272	100	19233.01	9.031707847	100
P19404	NDUFV2	63252.25	8	100	71490.79	23	100	68286.91	20	100	97669.06	14	100	92357.74	9.011850786	100	97070.04	13.51655893	100
P19440	GGT1	5752.28	44	86	7087.78	52	91	6586.97	50	89	15727.81	78	97	27700.27	55.94713713	100	17109.25	77.17736653	97.7443609
P19447	ERCC3	5104.40	22	100	5161.82	12	100	5139.49	16	100	3750.22	19	100	4030.49	20.4239991	100	3781.83	19.61840741	100
P19474	TRIM21	7247.12	18	100	7222.44	15	100	7232.04	15	100	10642.96	21	100	12133.41	21.51290279	100	10811.05	21.49679907	100
P19484	TFEB	5440.50	39	86	4963.11	57	100	5131.60	49	94	4856.66	21	99	5005.74	22.05217414	100	4873.60	21.08472875	99.2481203
P19525	EIF2AK2	55471.45	6	100	48200.69	17	100	51028.21	15	100	37306.87	11	100	38874.07	11.36529918	100	37483.62	11.14672611	100
P19532	TFE3	2528.57	35	29	1854.04	39	91	1966.47	38	67	2228.87	41	84	2118.59	47.72192504	86.66666667	2216.07	41.95987553	84.21052632
P19623	SRM	84577.83	23	100	89112.36	16	100	87348.93	18	100	83805.30	24	100	101503.85	47.44721686	100	85801.38	29.26803216	100
P19634	SLC9A1	3804.86	45	100	3192.83	21	100	3430.84	35	100	4945.22	18	100	5139.86	22.99307106	100	4967.18	18.88269537	100
P19784	CSNK2A2	25181.07	14	100	27790.85	10	100	26775.94	12	100	19587.16	10	100	20159.74	10.15579136	100	19651.74	10.02595077	100
P19793	RXRA	2507.90	22	100	2631.46	28	100	2583.41	26	100	2938.99	27	99	3340.61	24.98932286	100	2984.63	26.74101846	99.2481203
P19823	ITIH2	4631.67	70	100	8682.17	171	100	7106.97	165	100	185487.76	107	100	106181.54	119.4575589	100	176543.45	109.6411731	100
P19827	ITIH1	2394.56	46	100	2006.74	34	100	2157.56	40	100			0			0			0
P19835	CEL	23565.88	120	57	2951.07	54	55	11196.99	174	56	97278.67	115	100	173527.92	177.7896533	100	105878.21	139.4657008	100
P19838	NFKB1	9965.49	5	100	10456.92	10	100	10265.81	8	100	13160.24	15	100	14943.66	14.55033894	100	13361.38	15.39896917	100
P19961	AMY2B			0			0			0	781.79	91	56	885.30	97.12039079	46.66666667	791.72	91.37026345	54.88721805
P19971	TYMP	6573.64	16	100	5837.72	30	100	6123.91	25	100	32367.77	52	100	50506.00	36.57318367	100	34413.44	51.81599499	100
P20020	ATP2B1	95807.28	8	100	74639.03	14	100	82871.13	17	100	52091.57	14	100	50421.25	23.94333983	100	51903.19	15.35785614	100
P20042	EIF2S2	29379.84	12	100	30568.44	7	100	30106.21	9	100	39357.17	11	100	43428.77	26.76775418	100	39816.37	14.50707714	100
P20062	TCN2	8747.13	39	86	6820.20	20	91	7542.80	32	89	6041.45	32	14	4585.13	21.74980641	13.33333333	5879.64	32.61169113	13.53383459
P20073	ANXA7	113099.18	15	100	100336.62	14	100	105299.83	15	100	191501.68	11	100	177119.07	18.31721035	100	189879.58	11.95015142	100
P20142	PGC			0			0			0	4336.96	200	13	3721.37	94.63843738	33.33333333	4183.06	182.2651455	15.03759398
P20226	TBP	5910.59	18	100	6078.01	25	100	6012.90	22	100	3873.85	28	91	4193.66	18.76016122	100	3913.17	27.2039657	91.72932331
P20231	TPSB2	91682.71	123	57	38948.09	200	64	58124.31	155	61	129767.72	71	100	171295.04	81.80720377	100	134451.25	73.399898	100
P20290	BTF3	25988.80	19	100	28989.32	12	100	27822.45	15	100	31518.25	18	100	37524.34	23.20323235	100	32195.63	19.83146539	100
P20292	ALOX5AP			0			0			0	10897.45	55	78	13731.34	30.15677939	93.33333333	11271.74	51.73930916	79.69924812
P20336	RAB3A	35359.90	22	100	24391.34	18	100	28656.89	28	100	39688.08	22	100	32049.01	41.81350193	100	38826.53	25.03992131	100
P20337	RAB3B	85601.80	29	100	63744.86	26	100	72244.78	31	100	45354.44	19	100	37449.70	38.71975306	100	44462.93	21.98990618	100
P20338	RAB4A	26266.44	5	100	27134.06	10	100	26796.65	8	100	22507.44	11	100	23417.88	11.38892193	100	22610.12	10.96559077	100
P20339	RAB5A	105159.16	15	100	94030.81	17	100	98358.50	17	100	142400.42	11	100	131564.09	11.84493647	100	141178.27	11.07977435	100
P20340	RAB6A	99070.86	25	100	81389.18	14	100	88265.39	22	100	106013.47	10	100	102227.54	12.83007782	100	105586.48	10.26372809	100
P20393	NR1D1	713.80	41	100	629.92	50	100	662.54	45	100	747.33	40	98	709.60	32.95953372	100	743.01	39.59626415	98.4962406
P20585	MSH3	13045.26	20	100	15040.76	12	100	14264.73	16	100	12882.33	10	100	12974.61	8.247442349	100	12892.74	9.585494868	100
P20591	MX1	7593.34	24	100	7938.98	60	100	7804.57	49	100	10656.84	67	100	16466.06	79.25012933	100	11312.01	72.24753976	100
P20592	MX2	2543.47		14			0	2543.47		6	2954.06	45	92	4240.76	97.2882671	93.33333333	3101.72	60.79518968	91.72932331
P20618	PSMB1	68719.06	7	100	75093.42	8	100	72614.50	9	100	78383.30	10	100	80955.63	6.842385848	100	78673.41	9.849125546	100
P20645	M6PR	19553.00	22	100	18095.95	21	100	18662.58	21	100	27515.26	14	100	26273.93	20.14901108	100	27375.26	14.46272092	100
P20648	ATP4A	786.28	47	100	924.89	35	100	870.99	38	100	1604.05	32	100	1569.19	29.03833817	100	1600.12	32.04864697	100
P20674	COX5A	54489.40	27	100	86385.17	28	100	73981.26	35	100	94267.33	30	100	90078.16	26.73126505	100	93794.87	29.93285756	100
P20700	LMNB1	305820.43	19	100	382596.61	20	100	352739.20	22	100	143248.46	12	100	152919.93	19.33966114	100	144339.23	13.57944215	100
P20711	DDC	704134.10	18	100	469742.85	27	100	560895.00	30	100	27063.70	37	100	31914.59	43.1320654	100	27610.79	38.34714346	100
P20810	CAST	12727.81	37	100	15082.45	41	100	14166.75	40	100	31219.64	20	100	33926.94	15.42443141	100	31524.98	19.19150521	100
P20815	CYP3A5			0	583.11	53	18	583.11	53	11	1511.63	75	23	1152.86	45.96993589	40	1446.40	72.54547541	24.81203008
P20823	HNF1A	2706.21	19	100	2951.20	11	100	2855.93	15	100	1897.71	29	99	1867.05	31.48599054	100	1894.23	28.83588362	99.2481203
P20839	IMPDH1	19248.55	23	100	12459.31	22	100	15099.57	31	100	8093.89	16	100	8056.26	20.5133762	100	8089.64	16.59204772	100
P20929	NEB	4251.19	30	100	3774.78	38	100	3960.05	34	100	5412.32	28	100	4624.88	27.18684721	100	5323.51	28.45320718	100
P20930	FLG	6690.32	55	100	4011.79	67	100	5053.44	65	100	4744.66	41	100	4322.30	17.11904888	100	4697.02	39.13502533	100
P20933	AGA	34656.86	22	100	48034.04	51	100	42831.81	48	100	46309.36	24	100	58021.60	24.95904147	100	47630.29	25.13328122	100
P20936	RASA1	8579.84	12	100	8466.35	10	100	8510.48	10	100	7861.10	12	100	7850.90	16.96249593	100	7859.95	12.35828968	100
P20962	PTMS	51293.93	73	100	130157.42	30	100	99488.28	55	100	95949.70	33	100	92306.00	34.33669293	100	95538.76	32.61863241	100
P21127	CDK11B	17385.23	12	100	20095.22	7	100	19041.34	11	100	15498.39	8	100	16641.26	7.880834286	100	15627.28	8.278885455	100
P21217	FUT3			0			0			0	1125.94	50	39	1316.68	50.37637087	66.66666667	1160.00	50.29075641	42.10526316
P21266	GSTM3	53229.56	16	100	51316.99	13	100	52060.77	14	100	50087.18	23	100	52816.34	18.2120376	100	50394.98	22.80765306	100
P21281	ATP6V1B2	231485.24	16	100	188194.48	19	100	205029.77	20	100	253902.61	15	100	192237.28	25.30161086	100	246947.87	17.49436161	100
P21283	ATP6V1C1	59033.60	14	100	50071.21	19	100	53556.59	18	100	61864.71	13	100	50596.62	18.10654883	100	60593.88	14.38641937	100
P21291	CSRP1	44008.00	26	100	35572.40	17	100	38852.91	24	100	68538.77	19	100	75441.46	17.88905167	100	69317.27	19.1816079	100
P21333	FLNA	93571.65	26	100	162559.93	23	100	135731.16	35	100	206605.38	34	100	266369.67	34.69010702	100	213345.71	34.82838051	100
P21359	NF1	7927.71	10	100	7470.89	12	100	7648.55	11	100	11791.14	12	100	10960.09	20.64871112	100	11697.41	12.80763079	100
P21397	MAOA	77658.66	20	100	100297.68	25	100	91493.62	26	100	168513.20	24	100	202360.62	26.90075288	100	172330.58	24.85297792	100
P21399	ACO1	34187.67	24	100	43451.38	16	100	39848.83	22	100	72593.03	20	100	88518.36	35.84057836	100	74389.12	24.27951593	100
P21579	SYT1	8510.36	53	100	7395.38	50	100	7828.98	50	100	5179.51	46	100	7014.13	64.37038912	100	5386.42	50.67760108	100
P21589	NT5E	8275.19	45	100	14238.48	48	100	11919.42	54	100	4019.28	37	99	4886.58	32.39039199	100	4117.84	36.86059336	99.2481203
P21675	TAF1	3645.64	68	71	2509.20	21	91	2888.02	52	83	3354.14	64	78	3583.26	50.95187609	93.33333333	3384.40	62.20841157	79.69924812
P21695	GPD1	159123.82	17	100	102928.32	26	100	124782.12	31	100	155672.74	27	100	103551.73	34.57212209	100	149794.43	29.98859198	100
P21741	MDK	15244.82	47	100	11976.62	40	100	13247.59	44	100	2218.61	31	97	3965.48	79.76041132	100	2421.74	55.81520776	96.9924812
P21796	VDAC1	157280.33	18	100	176967.82	23	100	169311.57	21	100	212265.45	13	100	203622.47	12.32592195	100	211290.67	12.65051107	100
P21810	BGN			0	3744.35	8	18	3744.35	8	11	9448.57	64	86	11140.84	66.8985177	80	9626.70	64.35793526	85.71428571
P21854	CD72	382.40	44	29	736.55	39	27	594.89	49	28	1167.64	52	81	876.64	39.75601847	60	1142.46	51.79211409	78.19548872
P21912	SDHB	71403.41	13	100	82739.85	27	100	78331.23	24	100	119379.55	13	100	118109.30	6.797327304	100	119236.28	12.34774238	100
P21926	CD9	1896.29	70	57	2178.86	75	73	2084.67	71	67	29811.05	29	100	31984.92	33.25728386	100	30056.22	29.61989498	100
P21953	BCKDHB	3065.23	30	100	3099.84	25	100	3086.38	26	100	4017.44	26	99	3816.36	25.1514715	93.33333333	3995.95	26.17978871	98.4962406
P21964	COMT	17865.08	43	100	12689.02	18	100	14701.93	37	100	25680.47	19	100	26827.59	25.38751629	100	25809.84	20.23115896	100
P21980	TGM2	5702.16	47	100	53295.51	154	100	34786.98	194	100	122907.19	53	100	147919.07	48.25307844	100	125728.08	52.25045094	100
P22003	BMP5	546.56	56	57	1249.19	45	36	897.87	63	44	2810.10	38	100	2504.46	42.13554095	93.33333333	2777.68	38.675805	99.2481203
P22033	MMUT	51342.98	15	100	38322.99	21	100	43386.32	23	100	38778.90	17	100	34788.64	20.26036907	100	38328.87	17.69574935	100
P22059	OSBP	19065.29	14	100	20058.40	11	100	19672.19	12	100	22646.92	11	100	22738.28	9.679964338	100	22657.22	11.24010731	100
P22061	PCMT1	64626.24	12	100	54123.42	8	100	58207.85	13	100	63550.16	13	100	54586.94	16.5325086	100	62539.27	14.31407695	100
P22087	FBL	44206.67	19	100	57059.51	10	100	52061.18	18	100	42020.08	16	100	51418.28	22.05116496	100	43080.03	18.24816987	100
