hgnc_symbol	sorted_eBCs_score	combined_sc_max_score	scRNA_down_in_eBC_score	SCbeta_scRNA_melton2019_score	scRNA_down_in_SCbeta_melton2019_score	scRNA_down_in_SCbeta_balboa2022_score	sc_islet_bulk_rna_score	bulkRNA_down_in_SCislet_score	all_sc_proteomics_score	proteomics_down_in_sc_score	aggregate_score
ENHO	0.06413301662707839	0.09738717339667459	0	0.06175771971496437	0	0	0.0997624703087886	0	0.09501187648456057	0	0.03800475059382423
EPGN	0.48931116389548696	0.5249406175771971	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6009501187648456
EPO	0.48931116389548696	0.5249406175771971	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.4489311163895487
EREG	0.3919239904988123	0.33016627078384797	0	0.2992874109263658	0.9833729216152018	0	0.5154394299287411	0	0.09501187648456057	0	0.8028503562945368
FASLG	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.6294536817102138	0.8669833729216152	0.09501187648456057	0	0.8479809976247031
FGF1	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.31353919239904987	0	0.09501187648456057	0	0.332541567695962
FGF10	0.48931116389548696	0.43705463182897863	0	0.2992874109263658	0	0	0.49406175771971494	0	0.09501187648456057	0	0.36342042755344417
FGF11	0.19002375296912113	0.13064133016627077	0	0.0831353919239905	0	0	0.332541567695962	0	0.09501187648456057	0	0.0997624703087886
FGF12	0.047505938242280284	0.09026128266033254	0	0.0332541567695962	0	0	0.026128266033254157	0	0.09501187648456057	0	0.026128266033254157
FGF13	0.1377672209026128	0.07838479809976247	0	0.24228028503562946	0.8717339667458432	0	0.25653206650831356	0	0.09501187648456057	0	0.30403800475059384
FGF14	0.040380047505938245	0.09501187648456057	0	0.021377672209026127	0	0	0.03800475059382423	0	0.09501187648456057	0	0.028503562945368172
FGF16	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
FGF17	0.16864608076009502	0.2826603325415677	0	0.2826603325415677	0	0	0.10688836104513064	0	0.09501187648456057	0	0.12589073634204276
FGF18	0.166270783847981	0.20902612826603326	0	0.07600950118764846	0	0	0.1330166270783848	0	0.09501187648456057	0	0.08076009501187649
FGF19	0.3087885985748218	0.5724465558194775	0	0.2992874109263658	0	0	0.6294536817102138	0.9453681710213777	0.09501187648456057	0	0.8242280285035629
FGF2	0.2375296912114014	0.10688836104513064	0	0.1187648456057007	0	0	0.10451306413301663	0	0.06175771971496437	0.9738717339667459	0.2850356294536817
FGF20	0.3919239904988123	0.31353919239904987	0	0.2992874109263658	0	0	0.4418052256532066	0	0.09501187648456057	0	0.26128266033254155
FGF21	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0.9453681710213777	0.09501187648456057	0	0.9596199524940617
FGF22	0.4323040380047506	0.41092636579572445	0	0.2992874109263658	0.9572446555819477	0	0.49406175771971494	0	0.09501187648456057	0	0.8171021377672208
FGF23	0.48931116389548696	0.5249406175771971	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.4489311163895487
FGF3	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
FGF4	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
FGF5	0.20902612826603326	0.39667458432304037	0	0.1876484560570071	0.9168646080760094	0	0.08788598574821853	0	0.09501187648456057	0	0.4180522565320665
FGF6	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
FGF7	0.15676959619952494	0.19477434679334918	0	0.06413301662707839	0	0	0.3919239904988123	0	0.09501187648456057	0	0.1187648456057007
FGF8	0.4323040380047506	0.4251781472684085	0	0.7387173396674585	0	0	0.6294536817102138	0.8669833729216152	0.09501187648456057	0	0.9073634204275535
FGF9	0.12589073634204276	0.0498812351543943	0	0.1543942992874109	0.8551068883610451	0	0.1496437054631829	0	0.09501187648456057	0	0.2209026128266033
FLT3LG	0.3087885985748218	0.334916864608076	0	0.2992874109263658	0.9524940617577197	0	0.5154394299287411	0	0.09501187648456057	0	0.7957244655581948
FSHB	0.4323040380047506	0.6413301662707839	0	0.2992874109263658	0	0	0.5320665083135392	0	0.09501187648456057	0	0.4085510688836104
GAL	0.1021377672209026	0.1163895486935867	0	0.052256532066508314	0	0	0.37054631828978624	0	0.09501187648456057	0	0.08788598574821853
GALP	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
GAS6	0.1187648456057007	0.0855106888361045	0	0.1496437054631829	0	0	0.16152019002375298	0	0.06413301662707839	0	0.06413301662707839
GAST	0.019002375296912115	0.021377672209026127	0	0.2992874109263658	0	0	0.5629453681710214	0.8028503562945368	0.09501187648456057	0	0.33016627078384797
GCG	0.004750593824228029	0.0023752969121140144	0	0.004750593824228029	0	0	0	0	0.004750593824228029	0	0
GDF1	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
GDF10	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.48931116389548696
GDF11	0.03800475059382423	0.023752969121140142	0	0.04275534441805225	0	0	0.04513064133016627	0	0.09501187648456057	0	0.011876484560570071
GDF15	0.19002375296912113	0.12589073634204276	0	0.10688836104513064	0.9049881235154394	0	0.18527315914489312	0.8123515439429929	0.047505938242280284	0	0.5938242280285035
GDF2	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
GDF3	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
GDF5	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.47030878859857483	0	0.09501187648456057	0	0.5771971496437055
GDF6	0.14014251781472684	0.2209026128266033	0	0.21140142517814728	0	0	0.342042755344418	0	0.09501187648456057	0	0.13064133016627077
GDF7	0.48931116389548696	0.5938242280285035	0	0.2992874109263658	0	0	0.46318289786223277	0	0.09501187648456057	0	0.3847980997624703
GDF9	0.4323040380047506	0.498812351543943	0	0.2992874109263658	0	0	0.22802850356294538	0	0.09501187648456057	0	0.24228028503562946
GDNF	0.48931116389548696	0.40380047505938244	0	0.2992874109263658	0	0	0.5629453681710214	0.9548693586698337	0.09501187648456057	0	0.831353919239905
GH1	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0.8669833729216152	0.09501187648456057	0	0.9239904988123515
GH2	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0.8669833729216152	0.09501187648456057	0	0.9239904988123515
GHRH	0.0831353919239905	0.30641330166270786	0	0.09501187648456057	0	0	0.27078384798099764	0	0.09501187648456057	0	0.1021377672209026
GHRL	0.05938242280285035	0.0831353919239905	0	0.15676959619952494	0	0	0.12351543942992874	0	0.030878859857482184	0	0.04275534441805225
GIP	0.09501187648456057	0.2826603325415677	0	0.2660332541567696	0	0	0.5154394299287411	0	0.09501187648456057	0	0.19477434679334918
GNRH1	0.29691211401425177	0.26128266033254155	0	0.25415676959619954	0	0	0.3182897862232779	0	0.09501187648456057	0	0.17814726840855108
GNRH2	0.3919239904988123	0.5249406175771971	0	0.2992874109263658	0	0	0.35629453681710216	0	0.09501187648456057	0	0.28028503562945367
GPHA2	0.19714964370546317	0.1995249406175772	0	0.2992874109263658	0	0	0.3586698337292161	0	0.09501187648456057	0	0.15676959619952494
GREM1	0.20190023752969122	0.1828978622327791	0	0.2992874109263658	0.9904988123515439	0	0.37054631828978624	0.9881235154394299	0.09501187648456057	0	0.9026128266033254
GRN	0.023752969121140142	0.011876484560570071	0	0.0166270783847981	0	0	0.019002375296912115	0	0.021377672209026127	0.9667458432304038	0.12826603325415678
GRP	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.48931116389548696
GUCA2A	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.28028503562945367	0	0.09501187648456057	0	0.32304038004750596
GUCA2B	0.057007125890736345	0.15914489311163896	0	0.17577197149643706	0	0	0.1543942992874109	0	0.09501187648456057	0	0.07838479809976247
HBEGF	0.25415676959619954	0.31353919239904987	0	0.19477434679334918	0	0	0.2755344418052256	0	0.09501187648456057	0	0.14251781472684086
HCRT	0.4323040380047506	0.5724465558194775	0	0.2992874109263658	0	0	0.5320665083135392	0.7957244655581948	0.09501187648456057	0	0.8076009501187649
HGF	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.5629453681710214	0.9026128266033254	0.09501187648456057	0	0.8432304038004751
IAPP	0.011876484560570071	0.1021377672209026	1	0.007125890736342043	0.9738717339667459	0	0.007125890736342043	0.8242280285035629	0.0332541567695962	0	0.8812351543942993
IFNA1	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
IFNA10	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
IFNA13	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
IFNA14	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
