Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,T:\Data\Islet\N1\Islet_Pooled_P6_tech1_150ng_12-24-2021_Slot2-51_2375.d
O00273,O00273,,DFFA,,12516.1
O00291,O00291,,HIP1,,2218.91
O00299,O00299,,CLIC1,,118300
O00303,O00303,,EIF3F,,25466.5
O00308,O00308,,WWP2,,223.625
O00330,O00330,,PDHX,,37905.2
O00339,O00339,,MATN2,,1904.92
O00391,O00391,,QSOX1,,13068.8
O00399,O00399,,DCTN6,,10250.5
O00400,O00400,,SLC33A1,,4457.54
O00401,O00401,,WASL,,16065.9
O00410,O00410,,IPO5,,16692.7
O00411,O00411,,POLRMT,,
O00422,O00422,,SAP18,,14632.6
O00423,O00423,,EML1,,4766.67
O00429,O00429,,DNM1L,,34624
O00442,O00442,,RTCA,,5170.07
O00443,O00443,,PIK3C2A,,4175.02
O00445,O00445,,SYT5,,10231.5
O00459,O00459,,PIK3R2,,2086.95
O00461,O00461,,GOLIM4,,5584.06
O00462,O00462,,MANBA,,2555.64
O00468,O00468,,AGRN,,3029.24
O00469,O00469,,PLOD2,,1575.35
O00470,O00470,,MEIS1,,6782.85
O00471,O00471,,EXOC5,,9874.67
O00478,O00478,,BTN3A3,,2432.04
O00479,O00479,,HMGN4,,66252.4
O00483,O00483,,NDUFA4,,36479.3
O00487,O00487,,PSMD14,,26887.2
O00488,O00488,,ZNF593,,
O00499,O00499,,BIN1,,10546.2
O00505,O00505,,KPNA3,,6730.58
O00506,O00506,,STK25,,11908.9
O00507,O00507,,USP9Y,,
O00512,O00512,,BCL9,,2931.76
O00515,O00515,,LAD1,,17165.5
O00519,O00519,,FAAH,,5399.56
O00522,O00522,,KRIT1,,1182.17
O00534,O00534,,VWA5A,,38981.9
O00541,O00541,,PES1.00,,5898.28
O00559,O00559,,EBAG9,,6571.96
O00560,O00560,,SDCBP,,6001.7
O00562,O00562,,PITPNM1,,7996
O00566,O00566,,MPHOSPH10,,2211.24
O00567,O00567,,NOP56,,54677.9
O00571,O00571,,DDX3X,,52658.6
O00584,O00584,,RNASET2,,6410.72
O00592,O00592,,PODXL,,10156.3
O00623,O00623,,PEX12,,2001.98
O00625,O00625,,PIR,,9866.18
O00629,O00629,,KPNA4,,9155.01
O00635,O00635,,TRIM38,,
O00712,O00712,,NFIB,,3880.67
O00743,O00743,,PPP6C,,1666.39
O00748,O00748,,CES2,,784.374
O00750,O00750,,PIK3C2B,,900.426
O00754,O00754,,MAN2B1,,12819
O00757,O00757,,FBP2,,22059.4
O00763,O00763,,ACACB,,6074.08
O00764,O00764,,PDXK,,29820.1
O00767,O00767,,SCD,,
O14494,O14494,,PLPP1,,
O14495,O14495,,PLPP3,,3833.12
O14497,O14497,,ARID1A,,6211.4
O14521,O14521,,SDHD,,4027.82
O14523,O14523,,C2CD2L,,3348.49
O14524,O14524,,NEMP1,,1897.42
O14530,O14530,,TXNDC9,,4369.46
O14531,O14531,,DPYSL4,,2696.49
O14545,O14545,,TRAFD1,,1246.3
O14548,O14548,,COX7A2L,,17588
O14558,O14558,,HSPB6,,12661.5
O14561,O14561,,NDUFAB1,,3539.33
O14562,O14562,,UBFD1,,12642.7
O14569,O14569,,CYB561D2,,2653
O14576,O14576,,DYNC1I1,,15803
O14579,O14579,,COPE,,39447.7
O14617,O14617,,AP3D1,,14106.2
O14618,O14618,,CCS,,6697.03
O14639,O14639,,ABLIM1,,24404.5
O14641,O14641,,DVL2,,2615.05
O14646,O14646,,CHD1,,
O14647,O14647,,CHD2,,3771.53
O14653,O14653,,GOSR2,,15553.7
O14656,O14656,,TOR1A,,5700.29
O14657,O14657,,TOR1B,,4298.02
O14662,O14662,,STX16,,5663.22
O14672,O14672,,ADAM10,,8739.77
O14678,O14678,,ABCD4,,960.44
O14681,O14681,,EI24,,3602.95
O14683,O14683,,TP53I11,,3246.61
O14727,O14727,,APAF1,,1549.97
O14730,O14730,,RIOK3,,
O14732,O14732,,IMPA2,,6636.12
O14734,O14734,,ACOT8,,2392.73
O14735,O14735,,CDIPT,,16355.6
O14737,O14737,,PDCD5,,12837.4
O14744,O14744,,PRMT5,,24922.1
O14745,O14745,,SLC9A3R1,,33260.6
O14772,O14772,,FPGT,,
O14773,O14773,,TPP1,,241451
O14776,O14776,,TCERG1,,15397
O14786,O14786,,NRP1,,1131.65
O14787,O14787,,TNPO2,,7534.84
O14795,O14795,,UNC13B,,2991.9
O14802,O14802,,POLR3A,,4765.93
O14810,O14810,,CPLX1,,1112.05
O14818,O14818,,PSMA7,,68183
O14828,O14828,,SCAMP3,,26332.4
O14832,O14832,,PHYH,,
O14841,O14841,,OPLAH,,4736.09
O14867,O14867,,BACH1,,815.104
O14874,O14874,,BCKDK,,4304.05
O14879,O14879,,IFIT3,,1902.51
O14880,O14880,,MGST3,,31525.6
O14893,O14893,,GEMIN2,,1960.48
O14896,O14896,,IRF6,,5121.41
O14907,O14907,,TAX1BP3,,3820.66
O14908,O14908,,GIPC1,,4722.47
O14910,O14910,,LIN7A,,
O14917,O14917,,PCDH17,,305.388
O14920,O14920,,IKBKB,,5022.86
O14925,O14925,,TIMM23,,11785.1
O14929,O14929,,HAT1,,4680.55
O14933,O14933,,UBE2L6,,3198.89
O14936,O14936,,CASK,,10885.7
O14939,O14939,,PLD2,,559.065
O14949,O14949,,UQCRQ,,31428.1
O14950,O14950,,MYL12B,,37095
O14957,O14957,,UQCR11,,9626.73
O14964,O14964,,HGS,,19835.7
O14966,O14966,,RAB29,,7323.77
O14967,O14967,,CLGN,,6602.29
O14972,O14972,,VPS26C,,3218.32
O14974,O14974,,PPP1R12A,,24484.5
O14975,O14975,,SLC27A2,,1552.22
O14976,O14976,,GAK,,7625.4
O14979,O14979,,HNRNPDL,,108081
O14980,O14980,,XPO1,,15459.6
O14981,O14981,,BTAF1,,1999.45
O14983,O14983,,ATP2A1,,8768.26
O15014,O15014,,ZNF609,,540.914
O15020,O15020,,SPTBN2,,8599.92
O15021,O15021,,MAST4,,2441.82
O15027,O15027,,SEC16A,,21049
O15031,O15031,,PLXNB2,,8069.11
O15034,O15034,,RIMBP2,,6731.54
O15040,O15040,,TECPR2,,800.596
O15041,O15041,,SEMA3E,,
O15042,O15042,,U2SURP,,14291.9
O15047,O15047,,SETD1A,,2208.73
O15056,O15056,,SYNJ2,,3008.7
O15061,O15061,,SYNM,,4648.12
O15066,O15066,,KIF3B,,9942.75
O15067,O15067,,PFAS,,9933
O15068,O15068,,MCF2L,,3711.5
O15069,O15069,,NACAD,,525.077
O15075,O15075,,DCLK1,,
O15079,O15079,,SNPH,,62.3958
O15083,O15083,,ERC2,,699.725
O15084,O15084,,ANKRD28,,1318.36
O15085,O15085,,ARHGEF11,,2379.04
O15091,O15091,,PRORP,,1086.07
O15111,O15111,,CHUK,,5393.76
O15116,O15116,,LSM1.00,,7416.52
O15118,O15118,,NPC1,,1494.34
O15120,O15120,,AGPAT2,,
O15121,O15121,,DEGS1,,3857.08
O15126,O15126,,SCAMP1,,48000.9
O15127,O15127,,SCAMP2,,36830.5
O15131,O15131,,KPNA5,,1487.96
O15143,O15143,,ARPC1B,,18072.4
O15144,O15144,,ARPC2,,37916.4
O15145,O15145,,ARPC3,,95736
O15155,O15155,,BET1,,5233.5
O15160,O15160,,POLR1C,,9160.72
O15162,O15162,,PLSCR1,,1751.71
O15164,O15164,,TRIM24,,1710.16
O15173,O15173,,PGRMC2,,106902
O15211,O15211,,RGL2,,3050.02
O15212,O15212,,PFDN6,,3287.83
O15213,O15213,,WDR46,,2252.68
O15217,O15217,,GSTA4,,5106.02
O15226,O15226,,NKRF,,
O15228,O15228,,GNPAT,,
O15230,O15230,,LAMA5,,9090.8
O15231,O15231,,ZNF185,,1141.33
O15234,O15234,,CASC3,,1357.06
O15235,O15235,,MRPS12,,2592.57
O15239,O15239,,NDUFA1,,5964.41
O15240,O15240,,VGF,,102079
O15247,O15247,,CLIC2,,8236.05
O15254,O15254,,ACOX3,,7866.8
O15258,O15258,,RER1,,8500.27
O15260,O15260,,SURF4,,83131.2
O15264,O15264,,MAPK13,,55523.4
O15269,O15269,,SPTLC1,,5897.27
O15270,O15270,,SPTLC2,,1453.15
O15294,O15294,,OGT,,6578.74
O15305,O15305,,PMM2,,16343.8
O15321,O15321,,TM9SF1,,4632.22
O15327,O15327,,INPP4B,,2240.82
O15347,O15347,,HMGB3,,9660.74
O15355,O15355,,PPM1G,,13442.7
O15357,O15357,,INPPL1,,6544.11
O15371,O15371,,EIF3D,,26751.7
O15372,O15372,,EIF3H,,48821.1
O15379,O15379,,HDAC3,,1392.39
O15381,O15381,,NVL,,1141.38
O15382,O15382,,BCAT2,,47618.8
O15391,O15391,,YY2,,1154.64
O15397,O15397,,IPO8,,5558.6
O15400,O15400,,STX7,,17521.5
O15405,O15405,,TOX3,,
O15438,O15438,,ABCC3,,3353.04
O15439,O15439,,ABCC4,,1831.26
O15440,O15440,,ABCC5,,798.967
O15446,O15446,,POLR1G,,2069.92
O15455,O15455,,TLR3,,
O15460,O15460,,P4HA2,,3419.84
O15498,O15498,,YKT6,,8530.4
O15504,O15504,,NUP42,,2882.02
O15511,O15511,,ARPC5,,40294.6
O15523,O15523,,DDX3Y,,9591.28
O15525,O15525,,MAFG,,
O15530,O15530,,PDPK1,,2636.59
O15533,O15533,,TAPBP,,15480.4
O15541,O15541,,RNF113A,,2486.32
O15550,O15550,,KDM6A,,4621.72
O15551,O15551,,CLDN3,,4875.16
O43143,O43143,,DHX15,,32116
O43147,O43147,,SGSM2,,3547.66
O43148,O43148,,RNMT,,7205.91
O43149,O43149,,ZZEF1,,11336
O43150,O43150,,ASAP2,,2612.24
O43156,O43156,,TTI1,,2686.72
O43157,O43157,,PLXNB1,,
O43159,O43159,,RRP8,,3008.46
O43164,O43164,,PJA2,,703.019
O43166,O43166,,SIPA1L1,,3590.82
O43169,O43169,,CYB5B,,11597
O43172,O43172,,PRPF4,,11557.3
O43173,O43173,,ST8SIA3,,1400.34
O43175,O43175,,PHGDH,,100347
O43181,O43181,,NDUFS4,,12420.8
O43189,O43189,,PHF1,,2252.36
O43194,O43194,,GPR39,,1361.55
O43236,O43236,,SEPTIN4,,215.142
O43237,O43237,,DYNC1LI2,,29994.6
O43242,O43242,,PSMD3,,31522.2
O43251,O43251,,RBFOX2,,4820.22
O43252,O43252,,PAPSS1,,7663.29
O43264,O43264,,ZW10,,6005.91
O43278,O43278,,SPINT1,,1156.99
O43286,O43286,,B4GALT5,,1504.86
O43290,O43290,,SART1,,10010.5
O43291,O43291,,SPINT2,,6703.01
O43292,O43292,,GPAA1,,5688.97
O43293,O43293,,DAPK3,,2810.45
O43294,O43294,,TGFB1I1,,1947.92
O43299,O43299,,AP5Z1,,2096.52
O43301,O43301,,HSPA12A,,4862
O43303,O43303,,CCP110,,
O43306,O43306,,ADCY6,,
O43312,O43312,,MTSS1,,2935.76
O43314,O43314,,PPIP5K2,,4885.54
O43318,O43318,,MAP3K7,,1088.11
O43324,O43324,,EEF1E1,,18583.7
O43347,O43347,,MSI1,,7891.82
O43353,O43353,,RIPK2,,1544.33
O43374,O43374,,RASA4,,8138.23
O43390,O43390,,HNRNPR,,132844
O43395,O43395,,PRPF3,,12045.1
O43396,O43396,,TXNL1,,75720.1
O43399,O43399,,TPD52L2,,55985.4
O43402,O43402,,EMC8,,13841.1
O43414,O43414,,ERI3,,5716.92
O43426,O43426,,SYNJ1,,6764.52
O43427,O43427,,FIBP,,4624.71
O43432,O43432,,EIF4G3,,6328.07
O43447,O43447,,PPIH,,8461.76
O43464,O43464,,HTRA2,,9804.62
O43488,O43488,,AKR7A2,,50650.9
O43490,O43490,,PROM1,,994.705
O43491,O43491,,EPB41L2,,17401.2
O43493,O43493,,TGOLN2,,7745.18
O43504,O43504,,LAMTOR5,,1997.21
O43505,O43505,,B4GAT1,,15861.2
O43516,O43516,,WIPF1,,518.097
O43524,O43524,,FOXO3,,491.318
O43529,O43529,,CHST10,,1284.87
O43566,O43566,,RGS14,,
O43570,O43570,,CA12,,5952.56
O43572,O43572,,AKAP10,,562.733
O43581,O43581,,SYT7,,19208.3
O43583,O43583,,DENR,,65945.9
O43592,O43592,,XPOT,,5070.08
O43598,O43598,,DNPH1,,26197.8
O43602,O43602,,DCX,,1829.83
O43615,O43615,,TIMM44,,15093.3
O43617,O43617,,TRAPPC3,,10702.3
O43633,O43633,,CHMP2A,,32820
O43639,O43639,,NCK2,,5240.07
O43660,O43660,,PLRG1,,6062.22
O43663,O43663,,PRC1,,5389.86
O43670,O43670,,ZNF207,,23898.4
O43674,O43674,,NDUFB5,,10380.6
O43676,O43676,,NDUFB3,,20836.9
O43678,O43678,,NDUFA2,,11960.4
O43681,O43681,,GET3,,46880.6
O43684,O43684,,BUB3,,24207.7
O43687,O43687,,AKAP7,,4152.73
O43707,O43707,,ACTN4,,162792
O43708,O43708,,GSTZ1,,26724.2
O43709,O43709,,BUD23,,3290.1
O43716,O43716,,GATC,,2715.88
O43719,O43719,,HTATSF1,,15800.6
O43731,O43731,,KDELR3,,
O43734,O43734,,TRAF3IP2,,707.717
O43741,O43741,,PRKAB2,,
O43747,O43747,,AP1G1,,16892.3
O43752,O43752,,STX6,,5531.93
O43759,O43759,,SYNGR1,,1964.72
O43760,O43760,,SYNGR2,,31408.5
O43761,O43761,,SYNGR3,,5873.02
O43765,O43765,,SGTA,,13155.4
O43768,O43768,,ENSA,,3250.85
O43772,O43772,,SLC25A20,,15846.1
O43776,O43776,,NARS1,,53930.1
O43790,O43790,,KRT86,,4462.56
O43795,O43795,,MYO1B,,40806.4
O43809,O43809,,NUDT21,,26962.2
O43813,O43813,,LANCL1,,23865
O43815,O43815,,STRN,,3031.86
O43818,O43818,,RRP9,,13199
O43819,O43819,,SCO2,,4818.58
O43822,O43822,,CFAP410,,3882.84
O43823,O43823,,AKAP8,,1643.94
O43824,O43824,,GTPBP6,,3553.24
O43826,O43826,,SLC37A4,,21869.8
O43837,O43837,,IDH3B,,28322
O43847,O43847,,NRDC,,8914.35
O43852,O43852,,CALU,,29792.4
O43854,O43854,,EDIL3,,14225.2
O43861,O43861,,ATP9B,,578.655
O43865,O43865,,AHCYL1,,66609.5
O43903,O43903,,GAS2,,3741.43
O43909,O43909,,EXTL3,,1009.79
O43920,O43920,,NDUFS5,,22315.8
O43924,O43924,,PDE6D,,5363.68
O43933,O43933,,PEX1,,
O60216,O60216,,RAD21,,12889.3
O60218,O60218,,AKR1B10,,
O60220,O60220,,TIMM8A,,1465.74
O60231,O60231,,DHX16,,5069.94
O60232,O60232,,ZNRD2,,6906.01
O60234,O60234,,GMFG,,1871.47
O60237,O60237,,PPP1R12B,,547.314
O60238,O60238,,BNIP3L,,2049.11
O60243,O60243,,HS6ST1,,6107.91
O60244,O60244,,MED14,,1178.54
O60256,O60256,,PRPSAP2,,20428.2
O60262,O60262,,GNG7,,6876.11
O60264,O60264,,SMARCA5,,14457.8
O60268,O60268,,KIAA0513,,1513.06
O60271,O60271,,SPAG9,,15048.5
O60282,O60282,,KIF5C,,15765.9
O60284,O60284,,ST18,,
O60287,O60287,,URB1,,966.758
O60292,O60292,,SIPA1L3,,8372.19
O60294,O60294,,LCMT2,,523.267
O60299,O60299,,LZTS3,,
O60306,O60306,,AQR,,8414.8
O60307,O60307,,MAST3,,2376.77
O60308,O60308,,CEP104,,
O60313,O60313,,OPA1,,32182.1
O60318,O60318,,MCM3AP,,
O60331,O60331,,PIP5K1C,,3557.5
O60333,O60333,,KIF1B,,
O60341,O60341,,KDM1A,,6188.97
O60343,O60343,,TBC1D4,,9563.66
O60427,O60427,,FADS1,,
O60437,O60437,,PPL,,20581.4
O60443,O60443,,GSDME,,1274.69
O60449,O60449,,LY75,,
O60476,O60476,,MAN1A2,,8981.18
O60486,O60486,,PLXNC1,,2165.43
O60488,O60488,,ACSL4,,2173.57
O60493,O60493,,SNX3,,33943.5
O60499,O60499,,STX10,,1928.2
O60502,O60502,,OGA,,6146.79
O60503,O60503,,ADCY9,,59.7374
O60504,O60504,,SORBS3,,4966.41
O60506,O60506,,SYNCRIP,,70378.3
O60507,O60507,,TPST1,,952.507
O60508,O60508,,CDC40,,4120.54
O60512,O60512,,B4GALT3,,2993.99
O60513,O60513,,B4GALT4,,4349.4
O60518,O60518,,RANBP6,,11038.3
O60524,O60524,,NEMF,,6716.4
O60547,O60547,,GMDS,,19196.1
O60551,O60551,,NMT2,,2297.39
O60563,O60563,,CCNT1,,1278.75
O60568,O60568,,PLOD3,,9084.56
O60573,O60573,,EIF4E2,,3377.32
O60583,O60583,,CCNT2,,408.059
O60610,O60610,,DIAPH1,,16037.4
O60613,O60613,,SELENOF,,15634.9
O60637,O60637,,TSPAN3,,12375.5
O60641,O60641,,SNAP91,,6460.1
O60645,O60645,,EXOC3,,11404.2
O60658,O60658,,PDE8A,,303.582
O60664,O60664,,PLIN3,,30925.5
O60669,O60669,,SLC16A7,,4633.43
O60671,O60671,,RAD1,,
O60675,O60675,,MAFK,,
O60678,O60678,,PRMT3,,
O60684,O60684,,KPNA6,,5328.75
O60701,O60701,,UGDH,,56809.9
O60704,O60704,,TPST2,,2448.8
O60716,O60716,,CTNND1,,54101.2
O60725,O60725,,ICMT,,2118.16
O60749,O60749,,SNX2,,30973.2
O60762,O60762,,DPM1,,30533.5
O60763,O60763,,USO1,,65352.9
O60783,O60783,,MRPS14,,3894
O60784,O60784,,TOM1,,16299.6
O60825,O60825,,PFKFB2,,130563
O60826,O60826,,CCDC22,,18029.8
O60828,O60828,,PQBP1,,14305.2
O60830,O60830,,TIMM17B,,4122.2
O60831,O60831,,PRAF2,,18864.4
O60832,O60832,,DKC1,,50125.7
O60841,O60841,,EIF5B,,18681.9
O60869,O60869,,EDF1,,36454.3
O60870,O60870,,KIN,,1575.83
O60879,O60879,,DIAPH2,,4157.51
O60884,O60884,,DNAJA2,,15604.4
O60885,O60885,,BRD4,,9554.86
O60888,O60888,,CUTA,,100044
O60906,O60906,,SMPD2,,796.682
O60907,O60907,,TBL1X,,3625.7
O60925,O60925,,PFDN1,,10711
O60927,O60927,,PPP1R11,,403.12
O60934,O60934,,NBN,,9710.64
O60936,O60936,,NOL3,,2966.35
O60942,O60942,,RNGTT,,1580.6
O75027,O75027,,ABCB7,,14136.3
O75038,O75038,,PLCH2,,2898.75
O75044,O75044,,SRGAP2,,4303.3
O75051,O75051,,PLXNA2,,6152.35
O75061,O75061,,DNAJC6,,2908.38
O75063,O75063,,FAM20B,,6348.97
O75071,O75071,,EFCAB14,,4438.57
O75083,O75083,,WDR1,,29907.4
O75093,O75093,,SLIT1,,2814.12
O75110,O75110,,ATP9A,,16955.7
O75113,O75113,,N4BP1,,10.7276
O75116,O75116,,ROCK2,,11116
O75122,O75122,,CLASP2,,7627.52
O75128,O75128,,COBL,,3083.72
O75131,O75131,,CPNE3,,63469.7
O75140,O75140,,DEPDC5,,4000.61
O75143,O75143,,ATG13,,1424.3
O75145,O75145,,PPFIA3,,5279.11
O75146,O75146,,HIP1R,,15903.1
O75147,O75147,,OBSL1,,
O75150,O75150,,RNF40,,6933.83
O75151,O75151,,PHF2,,6170.82
O75152,O75152,,ZC3H11A,,15918.9
O75153,O75153,,CLUH,,6671.82
O75155,O75155,,CAND2,,7220.73
O75157,O75157,,TSC22D2,,223.019
O75165,O75165,,DNAJC13,,7090.58
O75167,O75167,,PHACTR2,,
O75170,O75170,,PPP6R2,,8633.78
O75175,O75175,,CNOT3,,5817.35
O75177,O75177,,SS18L1,,873.371
O75179,O75179,,ANKRD17,,7670.67
O75182,O75182,,SIN3B,,1422.73
O75190,O75190,,DNAJB6,,3658.74
O75191,O75191,,XYLB,,1794.41
O75208,O75208,,COQ9,,12342.6
O75223,O75223,,GGCT,,7868.28
O75251,O75251,,NDUFS7,,19422.6
O75298,O75298,,RTN2,,
O75306,O75306,,NDUFS2,,23347.7
O75312,O75312,,ZPR1,,5929.6
O75317,O75317,,USP12,,1670.64
O75323,O75323,,NIPSNAP2,,52186.5
O75340,O75340,,PDCD6,,22392.9
O75347,O75347,,TBCA,,35096.2
O75348,O75348,,ATP6V1G1,,88372.1
O75351,O75351,,VPS4B,,25876.7
O75352,O75352,,MPDU1,,10476
O75355,O75355,,ENTPD3,,8545.37
O75356,O75356,,ENTPD5,,
O75367,O75367,,MACROH2A1,,297654
O75368,O75368,,SH3BGRL,,91299.9
O75369,O75369,,FLNB,,122821
O75376,O75376,,NCOR1,,2888.85
O75379,O75379,,VAMP4,,1108.76
O75380,O75380,,NDUFS6,,20305.7
O75381,O75381,,PEX14,,3256.72
O75382,O75382,,TRIM3,,5240.66
O75385,O75385,,ULK1,,456.96
O75387,O75387,,SLC43A1,,2418.94
O75390,O75390,,CS,,91707.3
O75391,O75391,,SPAG7,,3325.84
O75394,O75394,,MRPL33,,5143.01
O75396,O75396,,SEC22B,,94042.7
O75400,O75400,,PRPF40A,,11544.2
O75410,O75410,,TACC1,,6401.79
O75414,O75414,,NME6,,643.276
O75420,O75420,,GIGYF1,,1410.31
O75427,O75427,,LRCH4,,3318.7
O75431,O75431,,MTX2,,9661.23
O75436,O75436,,VPS26A,,23529.6
O75438,O75438,,NDUFB1,,6058.16
O75439,O75439,,PMPCB,,13594.9
O75448,O75448,,MED24,,2106.04
O75460,O75460,,ERN1.00,,1430.93
O75475,O75475,,PSIP1,,17559
O75477,O75477,,ERLIN1,,70592.5
O75489,O75489,,NDUFS3,,34183
O75493,O75493,,CA11,,3240.84
O75494,O75494,,SRSF10,,23015.4
O75503,O75503,,CLN5,,2801.61
O75521,O75521,,ECI2,,13001.5
O75525,O75525,,KHDRBS3,,7492.77
O75531,O75531,,BANF1,,4341.69
